U,WallDistance,nut
0.032151,0.100330,0.000247
0.028102,0.100277,0.000238
0.030247,0.136442,0.000321
0.026618,0.136416,0.000307
0.023709,0.180999,0.000369
0.026823,0.181006,0.000395
0.022370,0.235964,0.000456
0.020048,0.235969,0.000412
0.017723,0.303732,0.000421
0.017746,0.303720,0.000489
0.017402,0.387243,0.000476
0.018613,0.303721,0.000536
0.014048,0.387240,0.000548
0.027792,0.490200,0.000429
0.019701,0.490194,0.000507
0.039052,0.562907,0.000389
0.030877,0.562920,0.000454
0.038588,0.549462,0.000422
0.045601,0.549431,0.000368
0.044788,0.493475,0.000399
0.050336,0.493445,0.000358
0.049655,0.442629,0.000384
0.053537,0.442599,0.000357
0.053287,0.396451,0.000370
0.055518,0.396421,0.000358
0.055914,0.354512,0.000336
0.056601,0.354482,0.000341
0.058058,0.316424,0.000273
0.057246,0.316392,0.000285
0.058456,0.281798,0.000230
0.061049,0.281832,0.000240
0.062771,0.250380,0.000272
0.067581,0.250417,0.000318
0.025753,0.009325,0.000016
0.025991,0.009083,0.000016
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.039022,0.020897,0.000056
0.039441,0.020518,0.000056
0.046175,0.035086,0.000102
0.046608,0.034861,0.000104
0.051031,0.054678,0.000148
0.051378,0.054529,0.000150
0.054626,0.081085,0.000195
0.054869,0.080978,0.000197
0.057511,0.116438,0.000241
0.057698,0.116357,0.000243
0.060177,0.163659,0.000284
0.060387,0.163592,0.000286
0.062939,0.226673,0.000318
0.063196,0.226610,0.000319
0.065472,0.294697,0.000329
0.065716,0.282455,0.000328
0.067025,0.298950,0.000325
0.067134,0.272253,0.000325
0.067529,0.221813,0.000328
0.067598,0.252676,0.000327
0.067501,0.187819,0.000331
0.067676,0.222680,0.000330
0.067391,0.165931,0.000322
0.067599,0.204453,0.000326
0.067201,0.152829,0.000301
0.067432,0.193919,0.000312
0.066812,0.145404,0.000272
0.067122,0.188097,0.000291
0.066116,0.141390,0.000239
0.066615,0.184996,0.000266
0.064991,0.139290,0.000208
0.065865,0.183383,0.000242
0.062808,0.138151,0.000176
0.064531,0.182510,0.000216
0.057911,0.137587,0.000144
0.061624,0.182072,0.000186
0.048793,0.137306,0.000123
0.055909,0.181842,0.000160
0.035386,0.137048,0.000120
0.046601,0.181624,0.000149
0.020106,0.136834,0.000133
0.033944,0.181435,0.000154
0.000000,0.000000,0.000000
0.025521,0.009677,0.000016
0.038492,0.021452,0.000055
0.045523,0.035424,0.000100
0.050436,0.054903,0.000145
0.054135,0.081244,0.000191
0.057087,0.116557,0.000238
0.059736,0.163755,0.000281
0.062434,0.226758,0.000316
0.064953,0.303077,0.000329
0.066624,0.327090,0.000326
0.067385,0.294909,0.000326
0.067616,0.269523,0.000329
0.067637,0.254606,0.000328
0.067559,0.246201,0.000320
0.067384,0.241631,0.000307
0.067090,0.239216,0.000290
0.066668,0.237962,0.000273
0.065949,0.237282,0.000253
0.064384,0.236936,0.000227
0.061152,0.236746,0.000201
0.055386,0.236562,0.000183
0.046543,0.236396,0.000180
0.035124,0.236255,0.000193
0.021113,0.181279,0.000177
0.024046,0.236142,0.000226
0.015105,0.181160,0.000220
0.017997,0.236057,0.000282
0.016783,0.181074,0.000278
0.017908,0.236000,0.000351
0.020287,0.181021,0.000332
0.000000,0.000000,0.000000
0.025156,0.010092,0.000016
0.037774,0.022107,0.000054
0.044567,0.035835,0.000098
0.049478,0.055177,0.000142
0.053266,0.081436,0.000188
0.056290,0.116699,0.000234
0.058923,0.163867,0.000278
0.061531,0.226856,0.000314
0.064000,0.304037,0.000329
0.065764,0.355139,0.000327
0.066714,0.351729,0.000326
0.067140,0.330644,0.000327
0.067317,0.318566,0.000328
0.067375,0.311878,0.000325
