U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.0513919,0.00802875,0.000239965,0,-1,0,0.000438959,0.10033,0.942977,1.31741,1.2192,0,0,1
-0.0460857,0.00859284,-0.000138464,0,-1,0,0.000416826,0.100277,0.878425,1.31744,1.2192,1,0,1
-0.0457156,0.0105525,4.10329e-05,0,-1,0,0.00056503,0.136442,0.942961,1.35325,1.2192,2,0,1
-0.0407412,0.0116116,-0.000322948,0,-1,0,0.000527015,0.136416,0.878403,1.35328,1.2192,3,0,1
-0.0321611,0.0156452,-0.000586425,0,-1,0,0.000610255,0.180999,0.878387,1.39744,1.2192,4,0,1
-0.0373025,0.013718,-0.000227649,0,-1,0,0.000680413,0.181006,0.942948,1.3974,1.2192,5,0,1
-0.0254441,0.0180893,-0.000571753,0,-1,0,0.000754774,0.235964,0.94294,1.45182,1.2192,6,0,1
-0.0184149,0.0224131,-0.000911416,0,-1,0,0.000642068,0.235969,0.878377,1.45186,1.2192,7,0,1
0.00476479,0.0361669,-0.00110236,0,-1,0,0.000637502,0.303732,0.878374,1.51892,1.2192,8,0,1
-0.00679456,0.026369,-0.000940272,0,-1,0,0.000762744,0.30372,0.942936,1.51888,1.2192,9,0,1
0.0216932,0.0411617,-0.000996439,0,-1,0,0.000737141,0.387243,0.942936,1.60152,1.2192,10,0,1
-0.014498,0.0194901,-0.000665215,0,-1,0,0.000889186,0.303721,1.0197,1.51885,1.2192,11,0,1
0.010039,0.029486,-0.000943954,0,-1,0,0.000864044,0.38724,1.0197,1.6015,1.2192,12,0,1
0.0544023,0.0565639,-0.000577838,0,-1,0,0.000719427,0.4902,0.942941,1.70339,1.2192,13,0,1
0.042405,0.0431646,-0.000751995,0,-1,0,0.000805602,0.490194,1.0197,1.70336,1.2192,14,0,1
0.0773551,0.0642665,-8.93651e-05,0,0,0,0.000716156,0.562907,0.942951,1.82894,1.2192,15,0,1
0.0679009,0.0522304,-0.000294986,0,0,0,0.000768618,0.56292,1.0197,1.82892,1.2192,16,0,1
0.0824893,0.055371,9.433e-05,0,1,0,0.000761088,0.549462,1.01971,1.89044,1.2192,17,0,1
0.0894779,0.0657523,0.000256403,0,1,0,0.000731451,0.549431,0.942962,1.89045,1.2192,18,0,1
0.0935144,0.0559453,0.000449227,0,1,0,0.000772889,0.493475,1.01972,1.9463,1.2192,19,0,1
0.0980655,0.0647897,0.000559138,0,1,0,0.000763636,0.493445,0.942973,1.94632,1.2192,20,0,1
0.101707,0.0545799,0.000797513,0,1,0,0.000801133,0.442629,1.01972,1.99704,1.2192,21,0,1
0.103918,0.062038,0.000857882,0,1,0,0.000809627,0.442599,0.942983,1.99706,1.2192,22,0,1
0.107574,0.0519305,0.0011479,0,1,0,0.000836584,0.396451,1.01973,2.04313,1.2192,23,0,1
0.107741,0.0581935,0.00117182,0,1,0,0.000859121,0.396421,0.942992,2.04314,1.2192,24,0,1
0.111679,0.048352,0.00150795,0,1,0,0.000853412,0.354512,1.01973,2.08499,1.2192,25,0,1
0.110142,0.0536454,0.00151091,0,1,0,0.000889394,0.354482,0.943,2.08499,1.2192,26,0,1
0.114612,0.0441424,0.00188056,0,1,0,0.000806321,0.316424,1.01974,2.123,1.2192,27,0,1
0.111655,0.0486588,0.0018745,0,1,0,0.000860974,0.316392,0.943007,2.12301,1.2192,28,0,1
0.11282,0.043412,0.00226437,0,1,0,0.000731969,0.281798,0.943014,2.15754,1.2192,29,0,1
0.117113,0.0395058,0.00227686,0,1,0,0.000663353,0.281832,1.01974,2.15753,1.2192,30,0,1
0.11474,0.0379163,0.00270274,0,1,0,0.000539438,0.25038,0.943019,2.1889,1.2192,31,0,1
0.120901,0.034387,0.00272446,0,1,0,0.000503338,0.250417,1.01974,2.1889,1.2192,32,0,1
0.00161016,0.0743554,-0.000384687,-1,2.21885e-16,-2.21867e-16,4.67606e-05,0.00932507,0.00718669,1.39882,1.2192,33,0,1
0.00159563,0.0744912,-0.000456387,-1,2.21885e-16,-2.21867e-16,4.74783e-05,0.009083,0.00718479,1.35478,1.2192,34,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,0,2.22045e-16,4.12838e-17,1.40516,1.2192,35,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,0,2.22045e-16,3.12459e-17,1.35992,1.2192,36,0,1
0.00392611,0.0953794,-0.00238418,-1,2.21885e-16,-2.21867e-16,0.000143249,0.0208967,0.0181936,1.39882,1.2192,37,0,1
0.00407114,0.0957215,-0.00245123,-1,2.21885e-16,-2.21867e-16,0.000144977,0.0205179,0.0181876,1.35478,1.2192,38,0,1
0.00860823,0.10528,-0.00408334,-1,2.21885e-16,-2.21867e-16,0.000251828,0.035086,0.0328673,1.39883,1.2192,39,0,1
0.00884904,0.105751,-0.00407627,-1,2.21885e-16,-2.21867e-16,0.000254508,0.0348607,0.0328571,1.35479,1.2192,40,0,1
0.0151603,0.11188,-0.00508696,-1,2.21885e-16,-2.21867e-16,0.000361688,0.0546785,0.0524266,1.39884,1.2192,41,0,1
0.0155334,0.112357,-0.00504116,-1,2.21885e-16,-2.21867e-16,0.00036508,0.0545292,0.0524131,1.3548,1.2192,42,0,1
0.0241711,0.116215,-0.00556346,-1,2.21885e-16,-2.21867e-16,0.000473669,0.081085,0.0784992,1.39886,1.2192,43,0,1
0.0247558,0.116666,-0.00552231,-1,2.21885e-16,-2.21867e-16,0.000477239,0.0809783,0.0784832,1.35483,1.2192,44,0,1
0.0361519,0.118631,-0.00542716,-1,2.21885e-16,-2.21867e-16,0.00058471,0.116438,0.113257,1.39889,1.2192,45,0,1
0.0370236,0.119099,-0.00543854,-1,2.21885e-16,-2.21867e-16,0.000587839,0.116357,0.113239,1.35486,1.2192,46,0,1
0.0507238,0.119053,-0.00496647,-1,2.21885e-16,-2.21867e-16,0.000689551,0.163659,0.159597,1.39893,1.2192,47,0,1
0.05187,0.11952,-0.00503605,-1,2.21885e-16,-2.21867e-16,0.000691666,0.163592,0.159575,1.35491,1.2192,48,0,1
0.0665253,0.117584,-0.0044093,-1,2.21885e-16,-2.21867e-16,0.000771196,0.226673,0.221382,1.39899,1.2192,49,0,1
0.0677476,0.118038,-0.00450449,-1,2.21885e-16,-2.21867e-16,0.000770731,0.22661,0.221352,1.35497,1.2192,50,0,1
0.0795004,0.115914,-0.00357923,-0.25,-0.25,-1.10933e-16,0.000799187,0.294697,0.303761,1.39906,1.2192,51,0,1
0.0803477,0.116493,-0.00362359,0,1.10943e-16,-1.10933e-16,0.000794729,0.282455,0.303718,1.35507,1.2192,52,0,1
0.0858482,0.115922,-0.00256047,0.25,-0.75,0,0.00079317,0.29895,0.386103,1.39916,1.2192,53,0,1
