U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0,0,0,0,-1,0,1.59171e-05,2.22045e-16,0.639972,1.2192,1.6256,0,0,1
0,0,0,0,-1,0,2.61124e-05,2.22045e-16,0.623672,1.2192,1.6256,1,0,1
-0.23215,0.0288782,-0.269946,0,-1,0,0.000437871,0.0132397,0.637891,1.23069,1.6256,2,0,1
-0.107938,0.281034,0.14045,0,-1,0,0.000391079,0.0140079,0.621102,1.23177,1.6256,3,0,1
0,0,0,0,-1,0,1.43198e-05,2.22045e-16,0.659887,1.2192,1.6256,4,0,1
-0.235839,-0.0111886,-0.339722,0,-1,0,0.000496301,0.0128973,0.65753,1.23034,1.6256,5,0,1
0,0,0,0,-1,0,1.41028e-05,2.22045e-16,0.683391,1.2192,1.6256,6,0,1
-0.213961,-0.0238258,-0.350374,0,-1,0,0.000558256,0.01279,0.68063,1.23023,1.6256,7,0,1
0,0,0,0,-1,0,1.37487e-05,2.22045e-16,0.711147,1.2192,1.6256,8,0,1
-0.163852,-0.0312992,-0.317448,0,-1,0,0.000623291,0.0127717,0.707914,1.23019,1.6256,9,0,1
0,0,0,0,-1,0,1.26922e-05,2.22045e-16,0.744053,1.2192,1.6256,10,0,1
-0.118094,-0.0304847,-0.247646,0,-1,0,0.000671102,0.012797,0.740247,1.23017,1.6256,11,0,1
0,0,0,0,-1,0,1.10866e-05,2.22045e-16,0.783141,1.2192,1.6256,12,0,1
-0.0907599,-0.0261499,-0.162675,0,-1,0,0.000687322,0.0128564,0.778641,1.23016,1.6256,13,0,1
0,0,0,0,-1,0,9.35742e-06,2.22045e-16,0.82961,1.2192,1.6256,14,0,1
-0.0872421,-0.0203917,-0.0803426,0,-1,0,0.000675042,0.0129521,0.824273,1.23015,1.6256,15,0,1
0,0,0,0,-1,0,7.82191e-06,2.22045e-16,0.884866,1.2192,1.6256,16,0,1
-0.102623,-0.0139671,-0.0100204,0,-1,0,0.000643118,0.0130929,0.878528,1.23015,1.6256,17,0,1
-0.121968,0.0960324,-0.169275,0,-1,0,0.000892213,0.0291815,0.637818,1.24658,1.6256,18,0,1
0.00355433,0.343894,0.235149,0,-1,0,0.000684866,0.0299752,0.621168,1.24743,1.6256,19,0,1
-0.178791,0.000737139,-0.314749,0,-1,0,0.00108998,0.0287497,0.657406,1.24613,1.6256,20,0,1
-0.171834,-0.0344258,-0.365959,0,-1,0,0.00126586,0.0285679,0.680503,1.24591,1.6256,21,0,1
-0.136221,-0.0502557,-0.353115,0,-1,0,0.00146373,0.0285118,0.707811,1.2458,1.6256,22,0,1
-0.101432,-0.051023,-0.288755,0,-1,0,0.00164598,0.0285303,0.740174,1.24574,1.6256,23,0,1
-0.0817637,-0.0446486,-0.202028,0,-1,0,0.00175741,0.0286086,0.778592,1.24571,1.6256,24,0,1
-0.0817374,-0.0353574,-0.11678,0,-1,0,0.0017919,0.0287484,0.824242,1.24569,1.6256,25,0,1
-0.0976664,-0.0251823,-0.043259,0,-1,0,0.00176691,0.0289619,0.878509,1.24568,1.6256,26,0,1
-0.0203902,0.199372,0.0088488,0,-1,0,0.00126092,0.0483257,0.637822,1.26591,1.6256,27,0,1
0.0931571,0.469007,0.389602,0,-1,0,0.00102967,0.0489069,0.621321,1.26653,1.6256,28,0,1
-0.100397,0.0341982,-0.222912,0,-1,0,0.00156431,0.0479177,0.657336,1.26548,1.6256,29,0,1
-0.117401,-0.0430864,-0.340453,0,-1,0,0.0018096,0.0476803,0.680408,1.26521,1.6256,30,0,1
-0.0988408,-0.0727738,-0.367304,0,-1,0,0.00206228,0.0475558,0.707719,1.26505,1.6256,31,0,1
-0.0772261,-0.0778333,-0.321508,0,-1,0,0.00235953,0.0475065,0.740099,1.26496,1.6256,32,0,1
-0.0682466,-0.0701764,-0.239004,0,-1,0,0.00261123,0.0475134,0.778537,1.2649,1.6256,33,0,1
-0.0745196,-0.0564892,-0.152432,0,-1,0,0.00276738,0.04757,0.824203,1.26487,1.6256,34,0,1
-0.0922452,-0.0413087,-0.0760659,0,-1,0,0.00284074,0.0476792,0.878483,1.26485,1.6256,35,0,1
