U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.0141931,0.075836,-0.0489449,0,-1,0,0.000327825,0.13741,0.638003,1.35441,0.8128,0,0,1
0.0197066,0.101204,-0.0715496,0,-1,0,0.00034915,0.137682,0.621724,1.35469,0.8128,1,0,1
0.0244969,0.0940887,-0.0582527,0,-1,0,0.000433572,0.18195,0.638077,1.3985,0.8128,2,0,1
0.0270164,0.111397,-0.0724732,0,-1,0,0.000464588,0.18217,0.621832,1.39873,0.8128,3,0,1
0.00634301,0.049414,-0.0219574,0,-1,0,0.000320702,0.137161,0.657348,1.35415,0.8128,4,0,1
0.0199076,0.072969,-0.0386852,0,-1,0,0.000422674,0.181741,0.65739,1.39828,0.8128,5,0,1
-0.000387304,0.0286397,0.00321195,0,-1,0,0.000318991,0.136956,0.680317,1.35393,0.8128,6,0,1
0.0144895,0.0518237,-0.0159385,0,-1,0,0.000419547,0.181561,0.680332,1.39809,0.8128,7,0,1
-0.00455743,0.0160385,0.0190786,0,-1,0,0.000328184,0.136797,0.707583,1.35375,0.8128,8,0,1
0.00989206,0.0343825,0.00517378,0,-1,0,0.000417206,0.181414,0.707579,1.39793,0.8128,9,0,1
-0.00815694,0.00935217,0.0228169,0,-1,0,0.000361127,0.136683,0.739957,1.35362,0.8128,10,0,1
0.0057105,0.0224761,0.0178717,0,-1,0,0.000424336,0.181302,0.739942,1.3978,0.8128,11,0,1
-0.0126202,0.0065377,0.0186469,0,-1,0,0.000417041,0.136609,0.77841,1.35353,0.8128,12,0,1
0.000525732,0.0155433,0.020343,0,-1,0,0.000456943,0.181223,0.778391,1.3977,0.8128,13,0,1
-0.017847,0.00625126,0.0130131,0,-1,0,0.000479117,0.136571,0.8241,1.35346,0.8128,14,0,1
-0.00598697,0.0122286,0.0169844,0,-1,0,0.000519421,0.181175,0.824081,1.39763,0.8128,15,0,1
-0.0235445,0.00726651,0.00865338,0,-1,0,0.000530473,0.136567,0.878405,1.35341,0.8128,16,0,1
-0.0130508,0.0113626,0.0124279,0,-1,0,0.000595634,0.181156,0.878388,1.39758,0.8128,17,0,1
-0.0296312,0.00840233,0.00558219,0,-1,0,0.000565118,0.136595,0.942961,1.35338,0.8128,18,0,1
-0.0199132,0.0115061,0.00887042,0,-1,0,0.000664216,0.181167,0.942949,1.39755,0.8128,19,0,1
-0.0359685,0.00887391,0.00320881,0,-1,0,0.00059052,0.136635,1.01972,1.35336,0.8128,20,0,1
-0.0264718,0.0113669,0.00635256,0,-1,0,0.000719036,0.181189,1.01971,1.39752,0.8128,21,0,1
-0.0423116,0.0083053,0.0010283,0,-1,0,0.000618584,0.136571,1.11098,1.35335,0.8128,22,0,1
-0.0326203,0.0102699,0.00439693,0,-1,0,0.000765692,0.181137,1.11098,1.39751,0.8128,23,0,1
0.0257869,0.0575794,-0.0140018,0,-1,0,0.000527532,0.23639,0.70759,1.45234,0.8128,24,0,1
0.029011,0.0748963,-0.0323674,0,-1,0,0.000531137,0.236522,0.68036,1.45248,0.8128,25,0,1
0.0223517,0.0423568,0.00242079,0,-1,0,0.000523275,0.236284,0.739942,1.45222,0.8128,26,0,1
0.0179296,0.0307237,0.012721,0,-1,0,0.000527487,0.236205,0.778384,1.45213,0.8128,27,0,1
0.0115451,0.0228778,0.0159288,0,-1,0,0.000560493,0.236153,0.824071,1.45206,0.8128,28,0,1
0.00361535,0.0183382,0.014582,0,-1,0,0.000629121,0.236126,0.878378,1.452,0.8128,29,0,1
-0.00459848,0.0159878,0.0119202,0,-1,0,0.000720058,0.236125,0.94294,1.45197,0.8128,30,0,1
-0.0122341,0.0143761,0.00952202,0,-1,0,0.000813406,0.236136,1.0197,1.45194,0.8128,31,0,1
-0.0187446,0.0123563,0.00778095,0,-1,0,0.000894539,0.236092,1.11097,1.45193,0.8128,32,0,1
0.0390625,0.0640925,-0.0155845,0,-1,0,0.0006427,0.30404,0.739953,1.51926,0.8128,33,0,1
0.0406483,0.0783526,-0.0292649,0,-1,0,0.000648634,0.304136,0.707613,1.51937,0.8128,34,0,1
0.0364866,0.0505163,-0.0031425,0,-1,0,0.00063702,0.303966,0.778387,1.51918,0.8128,35,0,1
0.0321197,0.0389172,0.00567084,0,-1,0,0.000640537,0.303913,0.82407,1.51911,0.8128,36,0,1
0.0255425,0.0299631,0.0101583,0,-1,0,0.000672312,0.303883,0.878375,1.51906,0.8128,37,0,1
0.0172824,0.0235997,0.0113683,0,-1,0,0.000745113,0.303874,0.942936,1.51902,0.8128,38,0,1
0.00864054,0.0190565,0.0109462,0,-1,0,0.000850088,0.303877,1.0197,1.519,0.8128,39,0,1
0.000676166,0.13703,0.086641,-1,2.21885e-16,-2.21867e-16,0.000114667,0.00911623,0.0071872,1.35478,0.8128,40,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,0,2.22045e-16,1.21413e-16,1.35992,0.8128,41,0,1
0.000739516,0.13462,0.0824621,-1,2.21885e-16,-2.21867e-16,0.000110777,0.00935593,0.007189,1.39882,0.8128,42,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,0,2.22045e-16,1.31451e-16,1.40516,0.8128,43,0,1
0.000557988,0.15871,0.100052,-1,2.21885e-16,-2.21867e-16,0.000302397,0.0206142,0.0181888,1.35478,0.8128,44,0,1
0.000606735,0.156737,0.0955583,-1,2.21885e-16,-2.21867e-16,0.00029455,0.0209901,0.0181946,1.39882,0.8128,45,0,1
0.000526601,0.165829,0.104242,-1,2.21885e-16,-2.21867e-16,0.000530658,0.0349136,0.0328571,1.35479,0.8128,46,0,1
0.00075544,0.164189,0.0996795,-1,2.21885e-16,-2.21867e-16,0.000516539,0.0351383,0.032867,1.39883,0.8128,47,0,1
0.000188022,0.165841,0.104083,-1,2.21885e-16,-2.21867e-16,0.000807774,0.0545614,0.0524118,1.3548,0.8128,48,0,1
0.000638699,0.164586,0.0996676,-1,2.21885e-16,-2.21867e-16,0.000785894,0.0547105,0.0524252,1.39884,0.8128,49,0,1
-0.00072198,0.160935,0.100813,-1,2.21885e-16,-2.21867e-16,0.00109692,0.0809983,0.0784804,1.35483,0.8128,50,0,1
3.8059e-05,0.159978,0.0966185,-1,2.21885e-16,-2.21867e-16,0.00107212,0.0811052,0.0784966,1.39886,0.8128,51,0,1
