U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.12444,0.279239,-0.212024,0,-1,0,0.00137285,0.13741,0.638003,1.35441,0.8128,0,0,1
0.129471,0.348824,-0.284638,0,-1,0,0.00146083,0.137682,0.621724,1.35469,0.8128,1,0,1
0.144074,0.307987,-0.217854,0,-1,0,0.00190185,0.18195,0.638077,1.3985,0.8128,2,0,1
0.139937,0.348669,-0.25792,0,-1,0,0.00207596,0.18217,0.621832,1.39873,0.8128,3,0,1
0.108531,0.191675,-0.115877,0,-1,0,0.00143566,0.137161,0.657348,1.35415,0.8128,4,0,1
0.142403,0.247779,-0.155035,0,-1,0,0.00186567,0.181741,0.65739,1.39828,0.8128,5,0,1
0.0872458,0.104092,-0.00648262,0,-1,0,0.00157896,0.136956,0.680317,1.35393,0.8128,6,0,1
0.135008,0.176883,-0.0731698,0,-1,0,0.00194254,0.181561,0.680332,1.39809,0.8128,7,0,1
0.0678041,0.0351818,0.0949539,0,-1,0,0.00171681,0.136797,0.707583,1.35375,0.8128,8,0,1
0.124208,0.108449,0.0172055,0,-1,0,0.0020787,0.181414,0.707579,1.39793,0.8128,9,0,1
0.0490556,-0.00682104,0.156769,0,-1,0,0.00182207,0.136683,0.739957,1.35362,0.8128,10,0,1
0.109136,0.0536954,0.0950465,0,-1,0,0.00221339,0.181302,0.739942,1.3978,0.8128,11,0,1
0.0249096,-0.0267344,0.167503,0,-1,0,0.00194003,0.136609,0.77841,1.35353,0.8128,12,0,1
0.0852229,0.0166611,0.139979,0,-1,0,0.00232889,0.181223,0.778391,1.3977,0.8128,13,0,1
-0.00354012,-0.0314519,0.144004,0,-1,0,0.0020817,0.136571,0.8241,1.35346,0.8128,14,0,1
0.0516707,-0.00427591,0.148005,0,-1,0,0.00244719,0.181175,0.824081,1.39763,0.8128,15,0,1
