U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.0945005,0.0191529,0.00329103,0,-1,0,0.00229702,0.10033,0.942977,1.31741,1.2192,0,0,1
-0.101676,0.0275772,0.00364852,0,-1,0,0.00205783,0.100277,0.878425,1.31744,1.2192,1,0,1
-0.0744224,0.0310943,0.00402204,0,-1,0,0.00262346,0.136442,0.942961,1.35325,1.2192,2,0,1
-0.077263,0.0442915,0.00436199,0,-1,0,0.00227279,0.136416,0.878403,1.35328,1.2192,3,0,1
-0.0235093,0.0778123,0.00436954,0,-1,0,0.00237991,0.180999,0.878387,1.39744,1.2192,4,0,1
-0.0372673,0.0518369,0.00446241,0,-1,0,0.00281182,0.181006,0.942948,1.3974,1.2192,5,0,1
0.0382453,0.0938313,0.00360025,0,-1,0,0.00288931,0.235964,0.94294,1.45182,1.2192,6,0,1
0.0811532,0.141671,0.0027463,0,-1,0,0.00249421,0.235969,0.878377,1.45186,1.2192,7,0,1
0.221376,0.223367,6.04836e-05,0,-1,0,0.00270662,0.303732,0.878374,1.51892,1.2192,8,0,1
0.159928,0.160744,0.00123826,0,-1,0,0.0029788,0.30372,0.942936,1.51888,1.2192,9,0,1
0.298073,0.233456,-0.00119129,0,-1,0,0.00313452,0.387243,0.942936,1.60152,1.2192,10,0,1
0.115265,0.110421,0.00236994,0,-1,0,0.00337588,0.303721,1.0197,1.51885,1.2192,11,0,1
0.245263,0.175862,-6.50819e-05,0,-1,0,0.00340456,0.38724,1.0197,1.6015,1.2192,12,0,1
0.411177,0.284623,-0.00258269,0,-1,0,0.00337797,0.4902,0.942941,1.70339,1.2192,13,0,1
0.370494,0.233634,-0.00170582,0,-1,0,0.00348496,0.490194,1.0197,1.70336,1.2192,14,0,1
0.47306,0.303012,-0.00266503,0,0,0,0.00367909,0.562907,0.942951,1.82894,1.2192,15,0,1
0.447741,0.262887,-0.00198631,0,0,0,0.00364202,0.56292,1.0197,1.82892,1.2192,16,0,1
0.483099,0.270573,-0.00136372,0,1,0,0.00386048,0.549462,1.01971,1.89044,1.2192,17,0,1
0.498456,0.302675,-0.00183951,0,1,0,0.0039746,0.549431,0.942962,1.89045,1.2192,18,0,1
0.50517,0.269992,-0.00038732,0,1,0,0.00412521,0.493475,1.01972,1.9463,1.2192,19,0,1
0.512593,0.296054,-0.000662383,0,1,0,0.00428452,0.493445,0.942973,1.94632,1.2192,20,0,1
0.518408,0.263821,0.000813439,0,1,0,0.00441244,0.442629,1.01972,1.99704,1.2192,21,0,1
0.519676,0.285275,0.000679167,0,1,0,0.00459123,0.442599,0.942983,1.99706,1.2192,22,0,1
0.526009,0.25422,0.00208155,0,1,0,0.00469109,0.396451,1.01973,2.04313,1.2192,23,0,1
0.522875,0.272149,0.00204505,0,1,0,0.00487046,0.396421,0.942992,2.04314,1.2192,24,0,1
0.530247,0.242296,0.00329696,0,1,0,0.0049203,0.354512,1.01973,2.08499,1.2192,25,0,1
0.52412,0.257705,0.00330328,0,1,0,0.0050927,0.354482,0.943,2.08499,1.2192,26,0,1
0.532708,0.228812,0.00438218,0,1,0,0.00503399,0.316424,1.01974,2.123,1.2192,27,0,1
0.524583,0.242467,0.00435857,0,1,0,0.00521143,0.316392,0.943007,2.12301,1.2192,28,0,1
0.524917,0.226685,0.00519919,0,1,0,0.00514664,0.281798,0.943014,2.15754,1.2192,29,0,1
0.534435,0.21425,0.00530762,0,1,0,0.00492439,0.281832,1.01974,2.15753,1.2192,30,0,1
0.5255,0.210456,0.00584539,0,1,0,0.00477584,0.25038,0.943019,2.1889,1.2192,31,0,1
0.536147,0.198898,0.00607329,0,1,0,0.00444655,0.250417,1.01974,2.1889,1.2192,32,0,1
0.0148922,0.534377,0.0174758,-1,2.21885e-16,-2.21867e-16,0.000334741,0.00932507,0.00718669,1.39882,1.2192,33,0,1
0.015078,0.52835,0.0173492,-1,2.21885e-16,-2.21867e-16,0.000279513,0.009083,0.00718479,1.35478,1.2192,34,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,1.39806e-08,2.22045e-16,4.12838e-17,1.40516,1.2192,35,0,1
0,0,0,-1,2.21885e-16,-2.21867e-16,2.89835e-08,2.22045e-16,3.12459e-17,1.35992,1.2192,36,0,1
0.0354042,0.562941,0.0182471,-1,2.21885e-16,-2.21867e-16,0.00057394,0.0208967,0.0181936,1.39882,1.2192,37,0,1
0.0364653,0.561692,0.0175756,-1,2.21885e-16,-2.21867e-16,0.00052841,0.0205179,0.0181876,1.35478,1.2192,38,0,1
0.0672341,0.574937,0.01741,-1,2.21885e-16,-2.21867e-16,0.00102039,0.035086,0.0328673,1.39883,1.2192,39,0,1
0.0693193,0.574574,0.016709,-1,2.21885e-16,-2.21867e-16,0.00100181,0.0348607,0.0328571,1.35479,1.2192,40,0,1
0.107863,0.579479,0.0151312,-1,2.21885e-16,-2.21867e-16,0.00157277,0.0546785,0.0524266,1.39884,1.2192,41,0,1
0.110823,0.579739,0.0141593,-1,2.21885e-16,-2.21867e-16,0.0015748,0.0545292,0.0524131,1.3548,1.2192,42,0,1
0.160913,0.579168,0.0109335,-1,2.21885e-16,-2.21867e-16,0.00218146,0.081085,0.0784992,1.39886,1.2192,43,0,1
0.165482,0.580402,0.00970444,-1,2.21885e-16,-2.21867e-16,0.00219413,0.0809783,0.0784832,1.35483,1.2192,44,0,1
0.225854,0.573633,0.00459891,-1,2.21885e-16,-2.21867e-16,0.00281194,0.116438,0.113257,1.39889,1.2192,45,0,1
0.231973,0.575664,0.0032091,-1,2.21885e-16,-2.21867e-16,0.00282769,0.116357,0.113239,1.35486,1.2192,46,0,1
0.299204,0.560271,-0.00248466,-1,2.21885e-16,-2.21867e-16,0.00341631,0.163659,0.159597,1.39893,1.2192,47,0,1
