U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.000509313,0.213514,-0.138146,0.000213612,0.0105561,0.00718735,1.49035,1.6256,54,0,1
0.000434446,0.216884,-0.143508,0.000216502,0.0100083,0.00718649,1.41891,1.6256,55,0,1
0,0,0,0,2.22045e-16,-5.89205e-17,1.50064,1.6256,56,0,1
0,0,0,0,2.22045e-16,-6.70626e-17,1.42725,1.6256,57,0,1
0.000551214,0.231717,-0.1509,0.000515383,0.0229023,0.0181891,1.49036,1.6256,58,0,1
0.000375631,0.234338,-0.156576,0.000523305,0.0220189,0.0181861,1.41892,1.6256,59,0,1
-0.000106845,0.236251,-0.154867,0.000890483,0.0362899,0.0328575,1.49038,1.6256,60,0,1
-0.000483366,0.237989,-0.160457,0.000908329,0.0357392,0.0328518,1.41894,1.6256,61,0,1
-0.000955113,0.232569,-0.153253,0.00132861,0.0554388,0.0524124,1.49041,1.6256,62,0,1
-0.00164958,0.233741,-0.158631,0.00135395,0.055079,0.052404,1.41897,1.6256,63,0,1
-0.00270784,0.222793,-0.147602,0.00177555,0.081584,0.0784813,1.49045,1.6256,64,0,1
-0.00373015,0.223632,-0.152727,0.00180227,0.0813368,0.0784705,1.41901,1.6256,65,0,1
-0.00453266,0.207498,-0.137939,0.00213786,0.116771,0.113235,1.49052,1.6256,66,0,1
-0.00594831,0.208184,-0.142725,0.002158,0.116594,0.113222,1.41909,1.6256,67,0,1
-0.00593626,0.186843,-0.123171,0.0023114,0.163879,0.159569,1.49061,1.6256,68,0,1
-0.00778149,0.187549,-0.127415,0.00231776,0.163746,0.159552,1.4192,1.6256,69,0,1
-0.00509267,0.161448,-0.0999971,0.00224156,0.226809,0.221344,1.49075,1.6256,70,0,1
-0.00737682,0.162336,-0.103216,0.00223317,0.226702,0.221321,1.41936,1.6256,71,0,1
0.00101242,0.136263,-0.0627422,0.00206169,0.303929,0.303707,1.49095,1.6256,72,0,1
-0.00154921,0.137443,-0.0637195,0.00205163,0.297976,0.303672,1.41959,1.6256,73,0,1
0.0110318,0.123631,-0.0141165,0.0019963,0.343409,0.386037,1.49119,1.6256,74,0,1
0.008385,0.12537,-0.0116479,0.00199521,0.309929,0.385994,1.41986,1.6256,75,0,1
0.0181744,0.128542,0.0314074,0.00198214,0.327425,0.447756,1.49138,1.6256,76,0,1
0.0150898,0.131104,0.0373513,0.0019791,0.269199,0.447706,1.42007,1.6256,77,0,1
0.0217675,0.141699,0.0659087,0.0018594,0.3047,0.494019,1.49152,1.6256,78,0,1
0.0178727,0.145177,0.0748326,0.00183991,0.241195,0.493959,1.42024,1.6256,79,0,1
