U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.0550388,0.00763799,-0.000792107,0.000783171,0.200029,0.942977,1.41563,1.2192,0,0,1
-0.0544435,0.00970802,-0.00124473,0.000714162,0.200046,0.878425,1.41569,1.2192,1,0,1
-0.0467611,0.0116586,-0.00123078,0.000951916,0.27242,0.942961,1.48729,1.2192,2,0,1
-0.0456432,0.0149393,-0.00159718,0.000827844,0.272459,0.878403,1.48736,1.2192,3,0,1
-0.0278686,0.0250149,-0.00189355,0.000890652,0.361717,0.878387,1.57568,1.2192,4,0,1
-0.0330012,0.0181759,-0.00174408,0.00106248,0.361664,0.942948,1.5756,1.2192,5,0,1
-0.0066704,0.0321188,-0.00203776,0.00110858,0.471661,0.94294,1.68444,1.2192,6,0,1
0.00929304,0.0484201,-0.00183442,0.000942266,0.471723,0.878377,1.68452,1.2192,7,0,1
0.0648163,0.0837945,-0.00146585,0.00103911,0.607296,0.878374,1.81864,1.2192,8,0,1
0.0392073,0.0583985,-0.0019098,0.00115224,0.607232,0.942936,1.81856,1.2192,9,0,1
0.097136,0.0908875,-0.00155405,0.00123256,0.774323,0.942936,1.98385,1.2192,10,0,1
0.0214134,0.0394764,-0.00211089,0.00132703,0.607195,1.0197,1.81851,1.2192,11,0,1
0.0741348,0.0666369,-0.00192042,0.00134701,0.774285,1.0197,1.9838,1.2192,12,0,1
0.149317,0.115504,-0.00117966,0.00133397,0.906306,0.942941,2.18757,1.2192,13,0,1
0.130136,0.0927163,-0.0014432,0.00138543,0.944952,1.0197,2.18753,1.2192,14,0,1
0.180531,0.125214,-0.000823669,0.00143922,0.946129,0.942951,2.43868,1.2192,15,0,1
0.167534,0.106573,-0.000942953,0.00143457,1.02345,1.0197,2.43864,1.2192,16,0,1
0.186207,0.110431,-0.000491766,0.00150673,1.01713,1.01971,2.56167,1.2192,17,0,1
0.194793,0.125704,-0.000434751,0.00154624,0.946133,0.942962,2.56171,1.2192,18,0,1
0.198844,0.110305,-5.66653e-06,0.00160373,0.97212,1.01972,2.67341,1.2192,19,0,1
0.203625,0.122911,2.48838e-05,0.00166806,0.934081,0.942973,2.67344,1.2192,20,0,1
0.20715,0.107375,0.000560174,0.00171847,0.88509,1.01972,2.77489,1.2192,21,0,1
0.208723,0.117863,0.000581245,0.00179784,0.879382,0.942983,2.77491,1.2192,22,0,1
0.212396,0.102688,0.00119351,0.00183568,0.792715,1.01973,2.86706,1.2192,23,0,1
0.211457,0.111493,0.00121738,0.0019216,0.792687,0.942992,2.86707,1.2192,24,0,1
0.215616,0.0967784,0.00187123,0.00192555,0.708817,1.01973,2.95077,1.2192,25,0,1
0.212783,0.104329,0.0018997,0.00201578,0.708791,0.943,2.95078,1.2192,26,0,1
0.217634,0.0900396,0.00255867,0.00193512,0.632615,1.01974,3.0268,1.2192,27,0,1
0.213375,0.0966709,0.00257848,0.00203913,0.63259,0.943007,3.02682,1.2192,28,0,1
0.213694,0.0886859,0.00322572,0.0019283,0.563379,0.943014,3.09588,1.2192,29,0,1
0.219104,0.0827422,0.00322191,0.0017898,0.563403,1.01974,3.09587,1.2192,30,0,1
0.214179,0.0804745,0.00384165,0.00161889,0.500515,0.943019,3.1586,1.2192,31,0,1
0.22075,0.0750495,0.0038601,0.00144037,0.500539,1.01974,3.1586,1.2192,32,0,1
0.00540685,0.185952,0.00265373,0.000120836,0.0111604,0.00718669,1.57844,1.2192,33,0,1
0.0055049,0.185032,0.00230795,0.000123628,0.0103712,0.00718479,1.49035,1.2192,34,0,1
0,0,0,0,2.22045e-16,4.12838e-17,1.59112,1.2192,35,0,1
0,0,0,0,2.22045e-16,3.12459e-17,1.50064,1.2192,36,0,1
0.011977,0.208508,0.00102974,0.000313366,0.023843,0.0181936,1.57844,1.2192,37,0,1
0.0124045,0.208019,0.00070147,0.000317971,0.0225543,0.0181876,1.49036,1.2192,38,0,1
0.0232515,0.218653,-0.000924237,0.000534386,0.0368985,0.0328673,1.57846,1.2192,39,0,1
0.0239653,0.218625,-0.0011486,0.000540406,0.0360739,0.0328571,1.49038,1.2192,40,0,1
0.0379712,0.225178,-0.00241253,0.000766417,0.0558439,0.0524266,1.57848,1.2192,41,0,1
0.0390099,0.225464,-0.00263129,0.000773252,0.0552996,0.0524131,1.49041,1.2192,42,0,1
0.0575374,0.229135,-0.00367633,0.00100606,0.0818659,0.0784992,1.57852,1.2192,43,0,1
0.0591445,0.229797,-0.00394965,0.00101297,0.0814911,0.0784832,1.49045,1.2192,44,0,1
0.0823388,0.230555,-0.00472875,0.00124838,0.116976,0.113257,1.57858,1.2192,45,0,1
0.0845084,0.231557,-0.00507388,0.00125456,0.116708,0.113239,1.49052,1.2192,46,0,1
0.111218,0.228516,-0.00561005,0.0014798,0.164036,0.159597,1.57866,1.2192,47,0,1
0.113826,0.229672,-0.00598897,0.00148375,0.163837,0.159575,1.49061,1.2192,48,0,1
0.141751,0.223384,-0.00614914,0.00165801,0.22694,0.221382,1.57877,1.2192,49,0,1
0.144535,0.224718,-0.00651479,0.00165506,0.226782,0.221352,1.49075,1.2192,50,0,1
0.16662,0.218731,-0.00593785,0.00172215,0.304049,0.303761,1.57893,1.2192,51,0,1
0.168631,0.220558,-0.00619055,0.00170874,0.303914,0.303718,1.49094,1.2192,52,0,1
0.179446,0.218095,-0.0050426,0.00171551,0.37037,0.386103,1.57912,1.2192,53,0,1
0.179402,0.220755,-0.00506525,0.00170089,0.343374,0.386051,1.49116,1.2192,54,0,1
0.179742,0.22478,-0.00372017,0.00171439,0.327358,0.447773,1.49134,1.2192,55,0,1
0.182599,0.220997,-0.00391377,0.0017203,0.394619,0.447834,1.57927,1.2192,56,0,1
0.17551,0.230681,-0.00250775,0.00171744,0.30462,0.494037,1.49147,1.2192,57,0,1
0.181188,0.225464,-0.00288112,0.00172431,0.387069,0.494106,1.57938,1.2192,58,0,1
0.170113,0.237021,-0.00143695,0.001666,0.291473,0.528709,1.49155,1.2192,59,0,1
0.17824,0.230244,-0.00203654,0.00169428,0.376787,0.528789,1.57943,1.2192,60,0,1
0.164938,0.242606,-0.000494394,0.00155869,0.284135,0.554691,1.49157,1.2192,61,0,1
0.17504,0.234467,-0.00132287,0.00162323,0.371123,0.554786,1.57943,1.2192,62,0,1
0.160353,0.246761,0.000257043,0.00141663,0.28013,0.574166,1.49151,1.2192,63,0,1
0.172016,0.237688,-0.000724149,0.00152446,0.36804,0.574278,1.57935,1.2192,64,0,1
0.156378,0.249205,0.000800165,0.00126156,0.277929,0.588777,1.49134,1.2192,65,0,1
0.169293,0.23976,-0.000252905,0.00141432,0.366332,0.588905,1.57918,1.2192,66,0,1
0.15297,0.249733,0.00117097,0.00111222,0.27663,0.599764,1.49103,1.2192,67,0,1
0.166905,0.240657,0.000101249,0.00130537,0.36531,0.599901,1.57891,1.2192,68,0,1
0.149123,0.247375,0.00146316,0.00095446,0.27572,0.60806,1.49059,1.2192,69,0,1
0.164215,0.2402,0.000426659,0.00118312,0.364589,0.60819,1.57853,1.2192,70,0,1
0.142375,0.237841,0.00167601,0.000787596,0.275026,0.621727,1.49003,1.2192,71,0,1
0.159832,0.236461,0.000757006,0.00103533,0.364035,0.621834,1.57809,1.2192,72,0,1
0.129126,0.216348,0.00167261,0.000651033,0.274456,0.638002,1.48945,1.2192,73,0,1
0.151829,0.226065,0.00099494,0.000888728,0.363568,0.638077,1.57761,1.2192,74,0,1
0.106376,0.182237,0.00134792,0.000560651,0.273928,0.657345,1.48891,1.2192,75,0,1
0.137882,0.206378,0.00103461,0.000771424,0.363123,0.657387,1.57715,1.2192,76,0,1
0.0733593,0.138796,0.000688629,0.000505203,0.273483,0.680313,1.48845,1.2192,77,0,1
0.116063,0.17691,0.000807804,0.000691481,0.362731,0.680328,1.57675,1.2192,78,0,1
0,0,0,0,2.22045e-16,5.36583e-17,1.70266,1.2192,79,0,1
0.00531936,0.186388,0.00301447,0.000117592,0.012236,0.00719175,1.68703,1.2192,80,0,1
0.0114997,0.208318,0.00142404,0.000307812,0.0256393,0.0182062,1.68704,1.2192,81,0,1
0.0224033,0.217794,-0.000598485,0.000526691,0.0381017,0.0328857,1.68705,1.2192,82,0,1
0.0366907,0.223972,-0.00209437,0.000757337,0.0566526,0.0524481,1.68707,1.2192,83,0,1
0.0555859,0.227594,-0.00330579,0.000996505,0.0824255,0.0785222,1.6871,1.2192,84,0,1
0.0796802,0.228662,-0.00429018,0.00123943,0.117376,0.113282,1.68715,1.2192,85,0,1
0.107934,0.226401,-0.00513077,0.0014734,0.164332,0.159625,1.68721,1.2192,86,0,1
0.138121,0.221,-0.0056831,0.00165998,0.22717,0.221418,1.68731,1.2192,87,0,1
0.163635,0.215678,-0.00557556,0.00173926,0.304241,0.303811,1.68743,1.2192,88,0,1
0.178376,0.213918,-0.00490498,0.00173873,0.381355,0.386167,1.68759,1.2192,89,0,1
0.184156,0.21543,-0.00405636,0.00173584,0.436328,0.447905,1.68772,1.2192,90,0,1
