U,WallDistance,nut
0.096478,0.100330,0.002297
0.105413,0.100277,0.002058
0.080757,0.136442,0.002623
0.089165,0.136416,0.002273
0.081404,0.180999,0.002380
0.063999,0.181006,0.002812
0.101390,0.235964,0.002889
0.163291,0.235969,0.002494
0.314484,0.303732,0.002707
0.226753,0.303720,0.002979
0.378617,0.387243,0.003135
0.159638,0.303721,0.003376
0.301797,0.387240,0.003405
0.500083,0.490200,0.003378
0.438011,0.490194,0.003485
0.561791,0.562907,0.003679
0.519216,0.562920,0.003642
0.553711,0.549462,0.003860
0.583159,0.549431,0.003975
0.572794,0.493475,0.004125
0.591946,0.493445,0.004285
0.581678,0.442629,0.004412
0.592828,0.442599,0.004591
0.584224,0.396451,0.004691
0.589464,0.396421,0.004870
0.582992,0.354512,0.004920
0.584059,0.354482,0.005093
0.579786,0.316424,0.005034
0.577924,0.316392,0.005211
0.571796,0.281798,0.005147
0.575806,0.281832,0.004924
0.566106,0.250380,0.004776
0.571884,0.250417,0.004447
0.534870,0.009325,0.000335
0.528850,0.009083,0.000280
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.564348,0.020897,0.000574
0.563149,0.020518,0.000528
0.579117,0.035086,0.001020
0.578982,0.034861,0.001002
0.589626,0.054678,0.001573
0.590406,0.054529,0.001575
0.601206,0.081085,0.002181
0.603610,0.080978,0.002194
0.616511,0.116438,0.002812
0.620654,0.116357,0.002828
0.635164,0.163659,0.003416
0.640835,0.163592,0.003428
0.658137,0.226673,0.003879
0.665287,0.226610,0.003872
0.681609,0.294697,0.004049
0.689124,0.282455,0.004014
0.698053,0.298950,0.004039
0.703881,0.272253,0.004002
0.710130,0.221813,0.004047
0.706842,0.252676,0.004059
0.713725,0.187819,0.004081
0.712009,0.222680,0.004090
0.717631,0.165931,0.003993
0.716169,0.204453,0.004051
0.721555,0.152829,0.003774
0.719608,0.193919,0.003919
0.724418,0.145404,0.003470
0.721946,0.188097,0.003721
0.725391,0.141390,0.003134
0.722919,0.184996,0.003492
0.723783,0.139290,0.002803
0.722413,0.183383,0.003259
0.716902,0.138151,0.002440
0.719518,0.182510,0.002989
0.693906,0.137587,0.002039
0.709378,0.182072,0.002649
0.640492,0.137306,0.001698
0.683302,0.181842,0.002297
0.550269,0.137048,0.001471
0.632756,0.181624,0.002005
0.427162,0.136834,0.001348
0.552832,0.181435,0.001809
0.000000,0.000000,0.000000
0.539913,0.009677,0.000354
0.564781,0.021452,0.000611
0.577441,0.035424,0.001041
0.586786,0.054903,0.001574
0.596686,0.081244,0.002169
0.609959,0.116557,0.002793
0.626676,0.163755,0.003401
0.647683,0.226758,0.003885
0.670125,0.303077,0.004096
0.687357,0.327090,0.004104
0.697895,0.294909,0.004104
0.704254,0.269523,0.004122
0.708706,0.254606,0.004110
0.712025,0.246201,0.004044
0.714298,0.241631,0.003933
0.715574,0.239216,0.003796
0.715979,0.237962,0.003649
0.715377,0.237282,0.003469
0.711814,0.236936,0.003220
0.700954,0.236746,0.002919
0.676816,0.236562,0.002616
0.632852,0.236396,0.002362
0.564594,0.236255,0.002189
0.445492,0.181279,0.001708
0.472862,0.236142,0.002109
0.322224,0.181160,0.001689
0.364767,0.236057,0.002119
0.203865,0.181074,0.001776
0.254986,0.236000,0.002234
0.120586,0.181021,0.002009
0.000000,0.000000,0.000000
0.542265,0.010092,0.000364
0.562617,0.022107,0.000634
0.572209,0.035835,0.001055
0.580130,0.055177,0.001571
0.588468,0.081436,0.002152
0.599605,0.116699,0.002769
0.614059,0.163867,0.003379
0.632647,0.226856,0.003887
0.653365,0.304037,0.004150
0.670469,0.355139,0.004196
0.681926,0.351729,0.004193
0.689092,0.330644,0.004197
0.693851,0.318566,0.004192
0.697244,0.311878,0.004163
0.699641,0.308278,0.004110
0.701256,0.306384,0.004039
0.702271,0.305399,0.003959
0.702887,0.304864,0.003855
0.702524,0.304588,0.003699
0.699335,0.304430,0.003486
0.690208,0.304274,0.003233
0.670485,0.304132,0.002972
0.634818,0.304008,0.002748
0.579244,0.303904,0.002594
0.503209,0.303824,0.002530
0.411423,0.303766,0.002564
0.286068,0.136667,0.001304
0.164953,0.136546,0.001357
0.103878,0.136466,0.001560
0.093244,0.136424,0.001894
0.178147,0.013094,0.000184
0.000000,0.000000,0.000001
0.299043,0.013878,0.000207
0.000000,0.000000,0.000012
0.168923,0.012744,0.000263
0.000000,0.000000,0.000000
0.160578,0.012633,0.000337
0.000000,0.000000,0.000000
0.150395,0.012613,0.000372
0.000000,0.000000,0.000000
0.143911,0.012638,0.000396
0.000000,0.000000,0.000000
0.137594,0.012697,0.000414
0.000000,0.000000,0.000000
0.131355,0.012794,0.000427
0.000000,0.000000,0.000000
0.395391,0.029673,0.000364
0.141494,0.028863,0.000309
0.138105,0.028423,0.000342
0.151075,0.028236,0.000457
0.149624,0.028176,0.000579
0.145542,0.028192,0.000673
0.139697,0.028269,0.000742
0.133220,0.028409,0.000794
0.522604,0.048692,0.000610
0.289724,0.048101,0.000509
0.122315,0.047685,0.000480
0.125518,0.047442,0.000552
0.138736,0.047311,0.000723
0.140582,0.047257,0.000911
0.136520,0.047260,0.001070
0.130255,0.047314,0.001194
0.607499,0.072318,0.000974
0.450508,0.071872,0.000796
0.258076,0.071512,0.000714
0.123401,0.071260,0.000708
0.114391,0.071098,0.000824
0.127006,0.071004,0.001053
0.128399,0.070964,0.001309
0.123485,0.070970,0.001536
0.661601,0.101528,0.001461
0.564880,0.101179,0.001188
0.424980,0.100873,0.001043
0.262210,0.100636,0.000978
0.137649,0.100465,0.000999
0.105534,0.100351,0.001160
0.111744,0.100285,0.001445
0.111624,0.100261,0.001766
0.522947,0.008919,0.000202
0.000000,0.000000,0.000000
0.561312,0.020264,0.000498
0.577804,0.034712,0.000996
0.590173,0.054432,0.001583
0.604792,0.080909,0.002207
0.623129,0.116303,0.002841
0.644513,0.163547,0.003437
0.670049,0.226569,0.003866
0.693741,0.274614,0.003989
0.706187,0.254244,0.003982
0.709324,0.199618,0.004050
0.710940,0.162149,0.004075
0.714509,0.137089,0.003927
0.719188,0.121240,0.003616
0.723044,0.111799,0.003207
0.724430,0.106567,0.002756
0.721743,0.103793,0.002319
0.708158,0.102276,0.001873
0.000000,0.000000,0.000000
0.124964,0.012937,0.000436
0.126310,0.028624,0.000833
0.122934,0.047421,0.001288
0.116074,0.071020,0.001718
0.580035,0.396327,0.005161
0.574810,0.396297,0.005174
0.569814,0.354392,0.005289
0.564204,0.354366,0.005277
0.585115,0.396357,0.005112
0.575640,0.354420,0.005272
0.588895,0.396388,0.005016
0.580878,0.354449,0.005210
0.560720,0.316304,0.005356
0.554888,0.316280,0.005331
0.566953,0.316329,0.005356
0.573057,0.316358,0.005314
0.552697,0.281709,0.005325
0.546731,0.281687,0.005305
0.559156,0.281733,0.005320
0.565784,0.281763,0.005269
0.545641,0.250287,0.005125
0.539575,0.250266,0.005136
0.552243,0.250311,0.005079
0.559227,0.250342,0.004974
0.538382,0.354152,0.005047
0.527531,0.316097,0.005072
0.540525,0.354175,0.005069
0.529858,0.316117,0.005095
0.542411,0.354204,0.005090
0.531909,0.316142,0.005118
0.544676,0.354233,0.005116
0.534362,0.316167,0.005146
0.547492,0.354259,0.005147
0.537384,0.316190,0.005179
0.550834,0.354286,0.005180
0.540938,0.316212,0.005216
0.554690,0.354313,0.005215
0.545002,0.316235,0.005255
0.559136,0.354340,0.005249
0.549641,0.316257,0.005295
0.513748,0.316062,0.004940
0.502735,0.281499,0.004926
0.519850,0.316067,0.004999
0.509442,0.281501,0.004988
0.524292,0.316080,0.005041
0.514293,0.281512,0.005031
0.517819,0.281527,0.005061
0.520352,0.281544,0.005085
0.522589,0.281567,0.005107
0.525248,0.281589,0.005135
0.528491,0.281608,0.005166
0.532262,0.281627,0.005201
0.536525,0.281647,0.005237
0.541340,0.281666,0.005273
0.492552,0.250103,0.004859
0.499945,0.250102,0.004915
0.505262,0.250111,0.004953
0.509104,0.250123,0.004979
0.511863,0.250138,0.004999
0.514301,0.250158,0.005017
0.517183,0.250179,0.005039
0.520656,0.250195,0.005063
0.524644,0.250212,0.005087
0.529093,0.250229,0.005109
0.534062,0.250247,0.005127
0.498346,0.011189,0.000133
0.498254,0.011225,0.000132
0.498020,0.011223,0.000132
0.497581,0.011243,0.000132
0.498467,0.011265,0.000132
0.416889,0.018080,0.000095
0.417407,0.018096,0.000095
1.220369,0.011292,0.000101
1.554529,0.019109,0.000164
1.207873,0.011259,0.000100
1.566490,0.019114,0.000164
4.951335,0.008190,0.001874
4.951215,0.008215,0.001873
4.949440,0.008217,0.001869
4.537892,0.010293,0.001010
4.158755,0.017074,0.000515
4.536416,0.010267,0.001011
4.161741,0.017074,0.000515
5.000000,0.000000,0.006213
5.000000,0.000000,0.006213
4.998986,0.006731,0.001398
4.912368,0.015515,0.001210
4.986764,0.010778,0.001163
5.000090,0.000180,0.005967
4.998996,0.006714,0.001396
4.998996,0.006743,0.001395
4.986844,0.010766,0.001161
4.972995,0.004250,0.000508
4.960144,0.005567,0.000453
4.973185,0.004257,0.000509
4.959995,0.005551,0.000450
0.000000,0.000000,0.000000
0.897742,0.001970,0.000044
0.000000,0.000000,0.000000
1.000894,0.001968,0.000066
3.302170,0.010581,0.000398
3.321016,0.010602,0.000402
1.211348,0.011226,0.000100
4.874281,0.003990,0.001528
4.874119,0.003968,0.001529
4.989502,0.000132,0.005898
5.000000,0.000000,0.006213
3.338743,0.010564,0.000408
4.538836,0.010229,0.001010
4.984309,0.002695,0.000468
4.984396,0.002702,0.000471
4.998164,0.000130,0.005796
5.000000,0.000000,0.006213
4.984309,0.002697,0.000468
4.973169,0.004237,0.000505
0.000000,0.000000,0.000000
0.331723,0.008711,0.000339
0.000000,0.000000,0.000000
0.350403,0.008738,0.000343
0.364889,0.019942,0.000640
0.384861,0.019986,0.000642
0.391556,0.034558,0.000996
0.412324,0.034593,0.000998
0.411526,0.054369,0.001408
0.432134,0.054398,0.001414
0.426280,0.080912,0.001892
0.446195,0.080935,0.001906
0.437428,0.116370,0.002444
0.456609,0.116386,0.002467
0.447466,0.163688,0.003047
0.466077,0.163697,0.003077
0.477392,0.226811,0.003689
0.459408,0.226809,0.003659
0.492306,0.304115,0.004194
0.475276,0.301295,0.004174
0.508395,0.370561,0.004520
0.492612,0.346918,0.004512
0.521909,0.395890,0.004711
0.507309,0.354126,0.004716
0.531758,0.395997,0.004828
0.518050,0.354117,0.004844
0.538803,0.395992,0.004900
0.525728,0.354110,0.004927
0.543946,0.396001,0.004948
0.531313,0.354117,0.004981
0.547718,0.396018,0.004981
0.535397,0.354132,0.005019
0.550484,0.396041,0.005005
0.552471,0.396068,0.005024
0.554220,0.396102,0.005043
0.556322,0.396136,0.005065
0.558951,0.396169,0.005090
0.562095,0.396202,0.005117
0.565749,0.396235,0.005143
0.569988,0.396266,0.005165
0.000000,0.000000,0.000000
0.314225,0.008690,0.000333
0.346174,0.019909,0.000634
0.372013,0.034533,0.000991
0.391858,0.054348,0.001401
0.406886,0.080896,0.001879
0.418410,0.116357,0.002424
0.428869,0.163680,0.003020
0.441541,0.226806,0.003631
0.458611,0.289416,0.004151
0.477445,0.316017,0.004500
0.493528,0.316084,0.004713
0.505322,0.316072,0.004850
0.000000,0.000000,0.000000
0.298061,0.008674,0.000326
0.328819,0.019883,0.000627
0.353735,0.034515,0.000984
0.373197,0.054334,0.001393
0.388073,0.080884,0.001866
0.399538,0.116349,0.002405
0.410216,0.163675,0.002995
0.423700,0.226806,0.003602
0.442192,0.272131,0.004125
0.462758,0.281454,0.004478
0.480433,0.281527,0.004695
0.493436,0.281512,0.004835
0.000000,0.000000,0.000000
0.283458,0.008662,0.000318
0.313068,0.019864,0.000619
0.336895,0.034503,0.000976
0.355588,0.054325,0.001384
0.369811,0.080878,0.001856
0.380738,0.116345,0.002389
0.391419,0.163674,0.002972
0.405819,0.219831,0.003571
0.425948,0.249455,0.004087
0.448464,0.250060,0.004434
0.467927,0.250141,0.004643
0.482281,0.250121,0.004775
0.563974,0.003936,0.000199
0.000000,0.000000,0.000000
0.976706,0.003968,0.000071
0.000000,0.000000,0.000000
0.769196,0.011728,0.000064
1.000836,0.001968,0.000066
0.041042,0.000081,0.000004
0.772741,0.011674,0.000064
1.196363,0.011206,0.000100
0.808195,0.004729,0.000069
1.169945,0.006160,0.000064
2.465290,0.000000,0.003063
3.154393,0.001951,0.000955
3.744815,0.004641,0.000913
4.921667,0.001346,0.000092
5.000000,0.000000,0.006213
0.000000,0.000000,0.000000
2.500000,0.000000,0.003107
0.000000,0.000000,0.000003
0.000000,0.000000,0.000000
0.593634,0.562895,0.003790
0.614204,0.562888,0.003948
0.601936,0.549393,0.004135
0.611489,0.549351,0.004310
0.614559,0.549304,0.004473
0.604439,0.493372,0.004625
0.603120,0.493333,0.004756
0.601661,0.493409,0.004461
0.595036,0.442532,0.004894
0.591314,0.442498,0.004983
0.596348,0.442565,0.004760
0.000000,0.000000,0.000000
0.454214,0.009770,0.000363
0.000000,0.000000,0.000000
0.507543,0.009496,0.000373
0.486103,0.021490,0.000628
0.528309,0.021024,0.000634
0.539774,0.035218,0.001024
0.508898,0.035508,0.000996
0.547363,0.054795,0.001505
0.520656,0.054985,0.001456
0.554005,0.081190,0.002060
0.528375,0.081321,0.001999
0.561416,0.116542,0.002665
0.535245,0.116639,0.002600
0.570886,0.163776,0.003284
0.543500,0.163854,0.003225
0.583759,0.226821,0.003847
0.554750,0.226890,0.003810
0.599492,0.304057,0.004232
0.569102,0.304127,0.004241
0.614253,0.381295,0.004410
0.583285,0.381373,0.004474
0.625531,0.441047,0.004479
0.594522,0.444443,0.004588
0.633379,0.472092,0.004506
0.602544,0.491727,0.004644
0.638793,0.485483,0.004516
0.608195,0.527176,0.004673
0.642658,0.492739,0.004517
0.612268,0.550084,0.004688
0.645472,0.493156,0.004510
0.615239,0.560647,0.004694
0.647537,0.491970,0.004498
0.617416,0.563325,0.004694
0.649047,0.491352,0.004483
0.618994,0.563079,0.004691
0.650411,0.491016,0.004461
0.620406,0.562963,0.004685
0.651965,0.490839,0.004423
0.622092,0.562922,0.004672
0.624129,0.562912,0.004647
0.653590,0.490732,0.004363
0.626382,0.562902,0.004604
0.654837,0.490627,0.004271
0.628538,0.562895,0.004535
0.654800,0.490528,0.004142
0.630002,0.562889,0.004432
0.651873,0.490438,0.003976
0.643472,0.490360,0.003788
0.629566,0.562886,0.004293
0.626282,0.490297,0.003605
0.625222,0.562885,0.004125
0.597198,0.490248,0.003458
0.554682,0.490216,0.003374
0.000000,0.000000,0.000000
0.415712,0.009646,0.000350
0.453382,0.021374,0.000629
0.481641,0.035439,0.000988
0.497105,0.054944,0.001433
0.506660,0.081299,0.001964
0.514077,0.116629,0.002558
0.522163,0.163854,0.003183
0.532910,0.226902,0.003781
0.546874,0.304150,0.004238
0.561069,0.381410,0.004504
0.572491,0.444496,0.004643
0.580686,0.491794,0.004716
0.586511,0.521500,0.004757
0.590740,0.536640,0.004782
0.593837,0.545540,0.004797
0.596113,0.548760,0.004806
0.597758,0.548809,0.004811
0.599219,0.548869,0.004814
0.600975,0.548935,0.004814
0.603162,0.549001,0.004808
0.605738,0.549068,0.004791
0.608590,0.549134,0.004758
0.611507,0.549196,0.004698
0.613896,0.549253,0.004605
0.000000,0.000000,0.000000
0.391289,0.008857,0.000350
0.428551,0.020144,0.000637
0.457238,0.034710,0.000991
0.475129,0.054483,0.001423
0.486531,0.080993,0.001939
0.494856,0.116422,0.002523
0.503166,0.163714,0.003145
0.513796,0.226810,0.003750
0.527723,0.304095,0.004228
0.542235,0.381383,0.004518
0.554124,0.443166,0.004677
0.562717,0.479016,0.004766
0.568872,0.490994,0.004818
0.573367,0.492847,0.004851
0.576662,0.492869,0.004873
0.579079,0.492901,0.004889
0.580819,0.492941,0.004900
0.582353,0.492989,0.004909
0.584199,0.493040,0.004919
0.586517,0.493092,0.004927
0.589299,0.493144,0.004929
0.592514,0.493195,0.004921
0.596133,0.493245,0.004897
0.599899,0.493290,0.004845
0.000000,0.000000,0.000000
0.370222,0.008779,0.000347
0.406089,0.020047,0.000641
0.434281,0.034643,0.000996
0.453494,0.054437,0.001418
0.466446,0.080964,0.001921
0.475870,0.116405,0.002493
0.484712,0.163707,0.003110
0.495556,0.226813,0.003719
0.509803,0.304107,0.004213
0.524947,0.381406,0.004522
0.537535,0.429790,0.004698
0.546683,0.442097,0.004802
0.553236,0.442093,0.004864
0.558022,0.442103,0.004904
0.561533,0.442123,0.004932
0.564102,0.442150,0.004953
0.565947,0.442182,0.004968
0.567568,0.442222,0.004982
0.569522,0.442264,0.004999
0.571976,0.442304,0.005017
0.574928,0.442345,0.005034
0.578372,0.442386,0.005046
0.582356,0.442425,0.005048
0.586793,0.442463,0.005031
0.532557,0.387293,0.002950
0.459018,0.387258,0.002986
0.000000,0.000000,0.000000
0.539169,0.010067,0.000367
0.555831,0.022021,0.000639
0.562261,0.035796,0.001051
0.568634,0.055159,0.001553
0.575656,0.081431,0.002121
0.584761,0.116703,0.002731
0.596644,0.163880,0.003345
0.612357,0.226881,0.003878
0.630616,0.304079,0.004200
0.646670,0.376022,0.004306
0.658211,0.410929,0.004325
0.665815,0.408811,0.004329
0.670888,0.399088,0.004326
0.674466,0.393766,0.004313
0.677043,0.390919,0.004289
0.678900,0.389423,0.004257
0.680233,0.388645,0.004219
0.681392,0.388222,0.004167
0.682435,0.388000,0.004084
0.682729,0.387869,0.003959
0.680954,0.387740,0.003790
0.674737,0.387619,0.003582
0.660551,0.387512,0.003359
0.634158,0.387421,0.003158
0.591887,0.387347,0.003012
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.112052,0.013174,0.000456
0.114388,0.013332,0.000448
0.000000,0.000000,0.000000
0.111789,0.012752,0.000465
0.111294,0.028955,0.000892
0.114275,0.029227,0.000880
0.111063,0.028260,0.000888
0.000000,0.000000,0.000000
0.118933,0.013134,0.000443
0.119606,0.028927,0.000861
0.115479,0.047587,0.001357
0.109227,0.047757,0.001407
0.105414,0.047593,0.001436
0.104813,0.047188,0.001427
0.107776,0.071116,0.001858
0.100384,0.071220,0.001962
0.095454,0.071108,0.002032
0.094055,0.070841,0.002038
0.087735,0.100394,0.002487
0.081359,0.100310,0.002627
