U,WallDistance,nut
1.443450,0.071216,0.002577
1.138868,0.071042,0.002015
0.691071,0.070801,0.001874
0.273839,0.071074,0.001998
0.438407,0.071264,0.001939
0.693231,0.071097,0.001778
0.908956,0.066550,0.001659
1.091550,0.052830,0.001482
1.247874,0.035048,0.001173
1.398081,0.020388,0.000671
1.485483,0.008913,0.000261
0.000000,0.000000,0.000014
1.745958,0.008964,0.000795
0.000000,0.000000,0.000024
1.819478,0.020383,0.002216
1.825691,0.034789,0.003679
1.796407,0.054508,0.004552
1.734356,0.077979,0.004707
1.621548,0.095208,0.004254
1.432181,0.100343,0.003462
1.131655,0.100211,0.002729
0.685180,0.100043,0.002520
0.270463,0.100244,0.002682
0.451883,0.100392,0.002640
0.708107,0.095408,0.002429
0.920423,0.078423,0.002213
1.099044,0.054961,0.001893
1.251734,0.035076,0.001414
1.393041,0.020530,0.000771
1.470508,0.009016,0.000286
0.000000,0.000000,0.000014
1.744214,0.009129,0.000848
0.000000,0.000000,0.000025
1.817417,0.020640,0.002429
1.821024,0.034946,0.004159
1.787470,0.054613,0.005332
1.721628,0.081093,0.005705
1.607389,0.111450,0.005302
1.419095,0.131526,0.004393
1.120402,0.136281,0.003489
0.672427,0.136157,0.003206
0.265356,0.136313,0.003402
0.466757,0.131725,0.003374
0.724623,0.111917,0.003095
0.933822,0.081600,0.002755
1.108039,0.054975,0.002280
1.255171,0.035174,0.001639
1.386591,0.020757,0.000871
1.455600,0.009169,0.000314
0.000000,0.000000,0.000015
1.741752,0.009365,0.000889
0.000000,0.000000,0.000026
1.815242,0.021012,0.002595
1.816099,0.035166,0.004559
1.778396,0.054757,0.006031
1.708369,0.081195,0.006655
1.591698,0.116615,0.006354
1.403264,0.155286,0.005368
1.105372,0.177194,0.004299
0.656077,0.180709,0.003934
0.260592,0.177376,0.004164
0.480047,0.155760,0.004144
0.739346,0.117160,0.003779
0.945350,0.081619,0.003297
1.114309,0.055060,0.002658
1.254521,0.035357,0.001858
1.375364,0.021109,0.000973
1.435864,0.009400,0.000344
0.000000,0.000000,0.000015
1.738448,0.009711,0.000919
0.000000,0.000000,0.000026
1.811069,0.021556,0.002718
1.808075,0.035490,0.004881
1.766572,0.054967,0.006642
1.692484,0.081339,0.007541
1.572939,0.116721,0.007392
1.383748,0.164032,0.006376
1.086874,0.212713,0.005158
0.638970,0.234492,0.004703
0.258139,0.213173,0.004959
0.489683,0.164596,0.004942
0.749840,0.117192,0.004481
0.952926,0.081708,0.003844
1.116454,0.055232,0.003033
1.249344,0.035658,0.002077
1.359638,0.021643,0.001080
1.411727,0.009742,0.000377
0.000000,0.000000,0.000015
1.726710,0.010189,0.000937
0.000000,0.000000,0.000026
1.798875,0.022318,0.002803
1.792499,0.035954,0.005129
1.747999,0.055266,0.007152
1.670586,0.081543,0.008339
