U:0,U:1,U:2,WallDistance,nut,U
0.085351,0.139812,0.000336,0.362405,0.000643,0.163806
0.102302,0.142131,-0.000068,0.472153,0.000804,0.175120
0.047650,0.098894,-0.000310,0.362147,0.000620,0.109775
0.069323,0.107226,-0.000619,0.471964,0.000797,0.127685
0.011556,0.062920,-0.001095,0.361952,0.000642,0.063981
0.035727,0.074016,-0.001261,0.471822,0.000836,0.082197
-0.014315,0.038485,-0.001680,0.361811,0.000735,0.041095
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005255,0.185595,0.003432,0.013427,0.000113,0.185701
0.011073,0.206755,0.001835,0.027662,0.000300,0.207059
0.021515,0.215344,-0.000151,0.039515,0.000516,0.216416
0.035209,0.221129,-0.001625,0.057621,0.000745,0.223920
0.053294,0.224497,-0.002784,0.083099,0.000983,0.230753
0.076472,0.225271,-0.003710,0.117857,0.001226,0.237926
0.103824,0.222777,-0.004508,0.164687,0.001463,0.245824
0.133388,0.217069,-0.005067,0.227443,0.001660,0.254827
0.159280,0.210967,-0.005059,0.304468,0.001758,0.264391
0.175657,0.207891,-0.004589,0.381561,0.001771,0.272204
0.183735,0.207861,-0.004032,0.444526,0.001765,0.277455
0.187192,0.209224,-0.003474,0.491739,0.001762,0.280763
0.188417,0.211044,-0.002953,0.527140,0.001753,0.282930
0.188642,0.212846,-0.002523,0.546938,0.001733,0.284422
0.188405,0.214392,-0.002190,0.555460,0.001701,0.285421
0.187967,0.215597,-0.001937,0.562341,0.001661,0.286037
0.187463,0.216463,-0.001732,0.567593,0.001618,0.286359
0.186805,0.217143,-0.001509,0.572480,0.001565,0.286443
0.185670,0.217445,-0.001234,0.578739,0.001488,0.285932
0.183599,0.216512,-0.000943,0.586720,0.001388,0.283878
0.179860,0.212981,-0.000653,0.596247,0.001273,0.278767
0.173274,0.205071,-0.000395,0.604738,0.001161,0.268474
0.162323,0.191113,-0.000244,0.607925,0.001068,0.250745
0.145597,0.170322,-0.000269,0.607707,0.001006,0.224072
0.122560,0.143649,-0.000503,0.607531,0.000978,0.188829
0.094415,0.113583,-0.000932,0.607395,0.000987,0.147703
0.031279,0.091023,-0.000126,0.273130,0.000470,0.096248
-0.007309,0.051528,-0.000938,0.272864,0.000472,0.052052
-0.031176,0.029313,-0.001599,0.272672,0.000546,0.042822
-0.042154,0.019415,-0.001795,0.272541,0.000681,0.046445
-0.066851,0.009190,0.000241,0.025653,0.000050,0.067480
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.017138,0.114018,0.001208,0.027237,0.000084,0.115305
0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
-0.061678,-0.005470,-0.000943,0.024924,0.000041,0.061928
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.056496,-0.001950,-0.001284,0.024657,0.000052,0.056544
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.052412,-0.000127,-0.001326,0.024560,0.000061,0.052429
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.050570,0.000835,-0.001229,0.024531,0.000067,0.050592
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.050017,0.001141,-0.001042,0.024540,0.000071,0.050041
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.050334,0.001126,-0.000801,0.024579,0.000074,0.050353
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.036240,0.146673,0.002020,0.058550,0.000138,0.151097
-0.021848,0.044650,0.000467,0.056904,0.000100,0.049711
-0.056960,0.001773,-0.001286,0.055978,0.000089,0.057002
-0.060411,-0.000939,-0.001880,0.055533,0.000116,0.060448
-0.059790,0.000851,-0.001810,0.055324,0.000153,0.059824
-0.058838,0.002150,-0.001606,0.055236,0.000180,0.058899
-0.058492,0.002600,-0.001334,0.055222,0.000198,0.058565
-0.058762,0.002515,-0.001006,0.055262,0.000210,0.058824
0.074016,0.188545,0.002380,0.096930,0.000233,0.202567
0.023562,0.101986,0.001092,0.095730,0.000184,0.104678
-0.030318,0.033668,-0.000746,0.094873,0.000152,0.045313
-0.053942,0.006981,-0.001831,0.094342,0.000161,0.054423
-0.058835,0.003970,-0.001922,0.094030,0.000216,0.059000
-0.059744,0.004642,-0.001758,0.093853,0.000280,0.059950
-0.060053,0.004922,-0.001504,0.093762,0.000329,0.060273
-0.060398,0.004582,-0.001167,0.093732,0.000363,0.060583
0.100324,0.215986,0.002509,0.144343,0.000372,0.238162
0.067190,0.155911,0.001742,0.143436,0.000300,0.169781
0.017289,0.087887,0.000366,0.142695,0.000254,0.089572
-0.027462,0.034917,-0.001079,0.142163,0.000230,0.044435
-0.049406,0.012856,-0.001743,0.141803,0.000259,0.051081
-0.055685,0.009151,-0.001801,0.141570,0.000341,0.056461
-0.057888,0.008422,-0.001654,0.141427,0.000433,0.058520
-0.058685,0.007458,-0.001356,0.141350,0.000506,0.059173
0.122646,0.231577,0.002285,0.202852,0.000560,0.262059
0.101459,0.193493,0.001922,0.202142,0.000453,0.218488
0.066650,0.142402,0.001163,0.201516,0.000390,0.157232
0.021322,0.086211,-0.000009,0.201020,0.000349,0.088808
-0.019919,0.041455,-0.001027,0.200652,0.000336,0.046003
-0.042413,0.020579,-0.001566,0.200392,0.000387,0.047168
-0.050750,0.014498,-0.001760,0.200216,0.000496,0.052809
-0.053632,0.011786,-0.001589,0.200106,0.000616,0.054935
0.005578,0.183862,0.002065,0.009809,0.000126,0.183958
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012747,0.207175,0.000505,0.021653,0.000322,0.207567
0.024532,0.218128,-0.001287,0.035519,0.000545,0.219507
0.039846,0.225274,-0.002786,0.054939,0.000778,0.228788
0.060462,0.229972,-0.004158,0.081244,0.001018,0.237824
0.086265,0.231998,-0.005349,0.116532,0.001259,0.247575
0.115901,0.230186,-0.006290,0.163706,0.001486,0.257795
0.146695,0.225323,-0.006796,0.226678,0.001652,0.268954
0.170006,0.221467,-0.006353,0.297952,0.001699,0.279267
0.178748,0.222194,-0.005030,0.309880,0.001692,0.285213
0.176270,0.227016,-0.003521,0.269126,0.001714,0.287437
0.169113,0.234121,-0.002110,0.241107,0.001712,0.288819
0.161083,0.241955,-0.000789,0.224337,0.001636,0.290673
0.153738,0.248966,0.000347,0.214756,0.001494,0.292608
0.147464,0.254154,0.001209,0.209476,0.001309,0.293839
0.142154,0.257023,0.001790,0.206592,0.001107,0.293721
0.137703,0.257050,0.002130,0.204917,0.000913,0.291619
0.132660,0.251356,0.002306,0.203744,0.000725,0.284225
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.051388,0.000968,-0.000524,0.024647,0.000077,0.051400
-0.059661,0.002186,-0.000620,0.055355,0.000220,0.059704
-0.061083,0.003923,-0.000749,0.093751,0.000386,0.061214
-0.059204,0.006299,-0.000953,0.141322,0.000557,0.059546
0.200620,0.123642,0.001142,0.764504,0.002089,0.235663
0.196692,0.125335,0.001121,0.739036,0.002107,0.233233
0.199550,0.115102,0.001813,0.708689,0.002151,0.230374
0.195385,0.116824,0.001785,0.702536,0.002160,0.227654
0.204706,0.121212,0.001174,0.783825,0.002053,0.237904
0.204050,0.112803,0.001852,0.708726,0.002128,0.233162
0.208556,0.117427,0.001204,0.792652,0.001997,0.239345
0.208638,0.109438,0.001888,0.708759,0.002084,0.235606
0.198549,0.106659,0.002460,0.632501,0.002170,0.225397
0.194257,0.108439,0.002416,0.632468,0.002176,0.222487
0.203295,0.104388,0.002508,0.632532,0.002150,0.228543
0.208360,0.101247,0.002552,0.632561,0.002109,0.231671
0.197723,0.098253,0.003059,0.563298,0.002110,0.220811
0.193358,0.100103,0.002997,0.563271,0.002125,0.217754
0.202624,0.095956,0.003124,0.563325,0.002078,0.224218
0.208021,0.092918,0.003184,0.563352,0.002021,0.227852
0.197149,0.089839,0.003606,0.500440,0.001912,0.216683
0.192725,0.091757,0.003521,0.500416,0.001954,0.213482
0.202183,0.087489,0.003693,0.500463,0.001849,0.220331
0.207882,0.084485,0.003777,0.500488,0.001754,0.224426
0.175482,0.124655,0.001688,0.588968,0.002106,0.215257
0.173851,0.116530,0.002213,0.588997,0.002117,0.209304
0.177157,0.124022,0.001695,0.600195,0.002113,0.216261
0.175587,0.115884,0.002232,0.597952,0.002124,0.210392
0.178683,0.123384,0.001698,0.610460,0.002119,0.217150
0.177165,0.115231,0.002249,0.603230,0.002131,0.211354
0.180525,0.122591,0.001710,0.623338,0.002127,0.218222
0.179066,0.114423,0.002277,0.609690,0.002139,0.212515
0.182762,0.121665,0.001731,0.639592,0.002135,0.219562
0.181367,0.113479,0.002309,0.617837,0.002148,0.213955
0.185358,0.120634,0.001752,0.658721,0.002144,0.221163
0.184026,0.112424,0.002337,0.627319,0.002158,0.215662
0.188302,0.119499,0.001765,0.675274,0.002153,0.223026
0.187031,0.111249,0.002358,0.632395,0.002167,0.217629
0.191636,0.118247,0.001771,0.688965,0.002159,0.225188
0.190428,0.109936,0.002381,0.632433,0.002174,0.219896
0.163559,0.120077,0.002026,0.527442,0.002076,0.202914
0.161900,0.111761,0.002480,0.524279,0.002060,0.196744
0.168171,0.118477,0.002116,0.554064,0.002096,0.205725
0.166703,0.110172,0.002566,0.542028,0.002078,0.199836
0.171464,0.117354,0.002176,0.574027,0.002108,0.207790
0.170121,0.109061,0.002627,0.552031,0.002089,0.202095
0.172593,0.108245,0.002669,0.559537,0.002097,0.203746
0.174388,0.107606,0.002700,0.562898,0.002102,0.204933
0.176014,0.106963,0.002732,0.563064,0.002107,0.205984
0.177964,0.106169,0.002771,0.563104,0.002113,0.207246
0.180314,0.105240,0.002812,0.563141,0.002120,0.208798
0.183016,0.104193,0.002851,0.563177,0.002125,0.210616
0.186057,0.103010,0.002892,0.563210,0.002129,0.212689
0.189487,0.101662,0.002940,0.563241,0.002130,0.215056
0.160556,0.103180,0.002887,0.495626,0.001992,0.190873
0.165568,0.101634,0.002969,0.500082,0.002002,0.194296
0.169123,0.100559,0.003029,0.500123,0.002007,0.196784
0.171684,0.099771,0.003075,0.500163,0.002010,0.198593
0.173538,0.099161,0.003113,0.500200,0.002011,0.199895
0.175209,0.098551,0.003153,0.500239,0.002011,0.201048
0.177201,0.097798,0.003201,0.500275,0.002011,0.202422
0.179585,0.096912,0.003254,0.500307,0.002009,0.204092
0.182315,0.095901,0.003309,0.500337,0.002004,0.206026
0.185376,0.094732,0.003372,0.500365,0.001995,0.208206
0.188826,0.093365,0.003443,0.500391,0.001979,0.210676
-0.047722,0.250090,0.004246,0.013634,0.000055,0.254638
-0.047664,0.249955,0.004217,0.013685,0.000055,0.254494
-0.047746,0.249885,0.004238,0.013676,0.000055,0.254441
-0.047931,0.249691,0.004174,0.013689,0.000055,0.254284
-0.047411,0.249940,0.004200,0.013757,0.000055,0.254432
-0.002996,0.207135,0.002221,0.021981,0.000074,0.207169
-0.002843,0.207263,0.002187,0.022025,0.000074,0.207294
0.612886,0.060657,0.001621,0.015616,0.000141,0.615882
0.746242,0.029112,0.001934,0.025938,0.000206,0.746812
0.607159,0.062327,0.001594,0.015570,0.000140,0.610352
0.751245,0.027655,0.001959,0.025945,0.000207,0.751756
1.944040,-0.050642,0.002424,0.008192,0.002221,1.944701
1.943860,-0.050595,0.002447,0.008218,0.002218,1.944520
1.943550,-0.051517,0.002448,0.008226,0.002214,1.944234
1.849480,-0.177593,0.000511,0.011910,0.001313,1.857987
1.708270,-0.132234,0.003237,0.020430,0.000715,1.713383
1.849450,-0.178525,0.000429,0.011890,0.001313,1.858046
1.708900,-0.131673,0.003327,0.020417,0.000716,1.713969
2.000000,0.000000,0.000000,0.000000,0.006213,2.000000
2.000000,0.000000,0.000000,0.000000,0.006213,2.000000
1.988580,-0.026096,0.000375,0.008456,0.001503,1.988751
1.889680,-0.044329,0.002862,0.017621,0.001372,1.890202
1.963140,-0.030993,0.002050,0.015988,0.001097,1.963386
1.999890,-0.001027,0.000024,0.000180,0.005984,1.999890
1.988630,-0.026074,0.000368,0.008429,0.001502,1.988801
1.988570,-0.026077,0.000400,0.008482,0.001499,1.988741
1.963260,-0.030952,0.002057,0.015971,0.001096,1.963505
1.969850,-0.026362,0.000049,0.006504,0.000591,1.970026
1.952910,-0.023233,0.001332,0.009310,0.000447,1.953049
1.970000,-0.026371,0.000038,0.006510,0.000593,1.970176
1.952820,-0.023246,0.001337,0.009290,0.000445,1.952959
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.203068,0.467687,-0.002867,0.001978,0.000076,0.509878
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.089053,0.548444,0.012715,0.001972,0.000041,0.555772
1.503810,-0.265364,-0.000684,0.014114,0.000519,1.527044
1.509950,-0.266206,-0.000538,0.014128,0.000523,1.533237
0.610971,0.059348,0.001444,0.015534,0.000140,0.613848
1.957390,-0.204133,-0.000789,0.004001,0.002169,1.968006
1.956780,-0.203334,-0.000945,0.003979,0.002175,1.967316
1.993000,-0.009960,-0.000980,0.000132,0.005975,1.993025
2.000000,0.000000,0.000000,0.000000,0.006213,2.000000
1.515590,-0.267523,-0.001120,0.014055,0.000531,1.539020
1.850680,-0.180629,-0.000178,0.011838,0.001312,1.859474
1.988810,-0.031467,0.000179,0.003308,0.000635,1.989059
1.988700,-0.031442,0.000160,0.003323,0.000638,1.988949
1.999850,-0.002304,0.000122,0.000130,0.005802,1.999851
2.000000,0.000000,0.000000,0.000000,0.006213,2.000000
1.988540,-0.031470,0.000177,0.003332,0.000633,1.988789
1.970010,-0.026447,0.000046,0.006489,0.000588,1.970188
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002928,0.101619,0.005361,0.009006,0.000085,0.101802
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003215,0.107756,0.005090,0.009091,0.000087,0.107924
0.006830,0.129366,0.004895,0.020396,0.000242,0.129639
0.007420,0.136169,0.004550,0.020529,0.000245,0.136447
0.013360,0.145364,0.004052,0.034812,0.000423,0.146033
0.014432,0.152387,0.003659,0.034899,0.000427,0.153113
0.022248,0.156135,0.003376,0.054528,0.000619,0.157748
0.023888,0.163098,0.002934,0.054590,0.000625,0.164864
0.034308,0.162774,0.002767,0.081018,0.000837,0.166373
0.036575,0.169566,0.002288,0.081063,0.000845,0.173481
0.049949,0.165171,0.002193,0.116442,0.001076,0.172572
0.052838,0.171858,0.001689,0.116474,0.001086,0.179805
0.069531,0.163021,0.001678,0.163738,0.001329,0.177238
0.072942,0.169780,0.001151,0.163759,0.001338,0.184789
0.096488,0.163345,0.000740,0.226855,0.001586,0.189716
0.092770,0.156355,0.001293,0.226844,0.001579,0.181810
0.120291,0.154522,0.000565,0.304147,0.001786,0.195825
0.116612,0.147213,0.001135,0.304145,0.001784,0.187807
0.139568,0.146860,0.000592,0.381447,0.001910,0.202602
0.136239,0.139278,0.001172,0.381454,0.001915,0.194835
0.152935,0.141707,0.000698,0.444569,0.001981,0.208496
0.150007,0.133969,0.001276,0.444584,0.001991,0.201125
0.161863,0.138323,0.000834,0.491901,0.002023,0.212917
0.159251,0.130486,0.001402,0.491923,0.002038,0.205887
0.167941,0.136068,0.000959,0.527393,0.002048,0.216147
0.165565,0.128163,0.001522,0.527420,0.002067,0.209380
0.172214,0.134532,0.001034,0.554006,0.002064,0.218535
0.170003,0.126582,0.001608,0.554039,0.002086,0.211959
0.175275,0.133452,0.001066,0.573964,0.002074,0.220300
0.173178,0.125471,0.001661,0.573999,0.002097,0.213861
0.177496,0.132662,0.001075,0.588931,0.002081,0.221597
0.179111,0.132056,0.001074,0.600157,0.002086,0.222532
0.180582,0.131454,0.001071,0.610422,0.002091,0.223363
0.182357,0.130709,0.001072,0.623301,0.002097,0.224366
0.184515,0.129840,0.001082,0.639558,0.002103,0.225622
0.187024,0.128876,0.001098,0.658892,0.002109,0.227130
0.189872,0.127823,0.001110,0.681884,0.002114,0.228892
0.193093,0.126667,0.001115,0.709227,0.002114,0.230934
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002613,0.096490,0.005584,0.008936,0.000084,0.096687
0.006187,0.123525,0.005185,0.020285,0.000240,0.123788
0.012202,0.139198,0.004385,0.034743,0.000420,0.139801
0.020470,0.149840,0.003763,0.054479,0.000613,0.151279
0.031870,0.156428,0.003200,0.080982,0.000830,0.159674
0.046899,0.158712,0.002653,0.116416,0.001069,0.165517
0.066029,0.156301,0.002159,0.163721,0.001322,0.169689
0.089079,0.149262,0.001793,0.226835,0.001573,0.173832
0.113088,0.139708,0.001649,0.304144,0.001782,0.179750
0.133164,0.131452,0.001693,0.381460,0.001917,0.187123
0.147398,0.125986,0.001797,0.444596,0.001996,0.193912
0.156993,0.122432,0.001913,0.491940,0.002045,0.199098
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002276,0.092389,0.005713,0.008878,0.000083,0.092594
0.005480,0.118713,0.005389,0.020195,0.000238,0.118962
0.010930,0.133967,0.004668,0.034688,0.000417,0.134493
0.018512,0.144304,0.004091,0.054441,0.000609,0.145544
0.029191,0.150586,0.003577,0.080955,0.000825,0.153431
0.043610,0.152493,0.003067,0.116397,0.001064,0.158636
0.062370,0.149598,0.002594,0.163709,0.001317,0.162100
0.085365,0.142036,0.002244,0.226829,0.001567,0.165730
0.109671,0.131969,0.002108,0.304143,0.001775,0.171604
0.130296,0.123334,0.002153,0.381465,0.001908,0.179424
0.145066,0.117709,0.002260,0.444606,0.001985,0.186828
0.155056,0.114114,0.002373,0.491955,0.002032,0.192536
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001900,0.089366,0.005716,0.008830,0.000082,0.089569
0.004635,0.114984,0.005489,0.020121,0.000236,0.115208
0.009385,0.129685,0.004909,0.034645,0.000415,0.130117
0.016218,0.139544,0.004391,0.054413,0.000606,0.140552
0.026149,0.145266,0.003916,0.080935,0.000823,0.147653
0.039992,0.146502,0.003438,0.116384,0.001062,0.151901
0.058498,0.142886,0.002985,0.163700,0.001313,0.154426
0.081592,0.134650,0.002646,0.226826,0.001557,0.157464
0.106327,0.123974,0.002512,0.304145,0.001755,0.163344
0.127601,0.114906,0.002558,0.381471,0.001876,0.171732
0.142979,0.109121,0.002669,0.444615,0.001939,0.179882
0.153407,0.105506,0.002784,0.481432,0.001974,0.186207
-0.051242,0.296650,0.006277,0.003947,0.000047,0.301109
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.109315,0.451776,0.009159,0.003979,0.000043,0.464903
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.048888,0.331477,0.003719,0.015915,0.000066,0.335083
-0.089536,0.548025,0.012738,0.001972,0.000041,0.555437
-0.005040,0.020617,0.000728,0.000081,0.000002,0.021237
-0.049595,0.332584,0.003379,0.015823,0.000066,0.336278
0.599530,0.066339,0.001258,0.015473,0.000139,0.603190
0.174415,0.297501,0.007372,0.005752,0.000071,0.344937
0.697905,-0.039874,-0.000529,0.008645,0.000129,0.699043
0.986114,0.000000,0.000000,0.000000,0.003063,0.986114
1.313230,0.044289,-0.007304,0.001954,0.001645,1.313997
1.593690,-0.219938,-0.002724,0.005516,0.001434,1.608797
1.972580,0.007853,-0.000362,0.001554,0.000140,1.972596
2.000000,0.000000,0.000000,0.000000,0.006213,2.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.003107,1.000000
0.000000,0.000000,0.000000,0.000000,0.000002,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.189889,0.140602,-0.000797,0.881104,0.001478,0.236278
0.195529,0.151955,-0.000850,0.826418,0.001542,0.247634
0.199700,0.137316,-0.000452,0.881113,0.001612,0.242355
0.201495,0.145180,-0.000525,0.826433,0.001690,0.248350
0.201144,0.149931,-0.000648,0.780447,0.001767,0.250876
0.204220,0.137688,-0.000076,0.826350,0.001825,0.246300
0.201988,0.141096,-0.000166,0.780364,0.001893,0.246388
0.205108,0.131916,-0.000000,0.881031,0.001747,0.243867
0.204939,0.129600,0.000505,0.822677,0.001948,0.242480
0.201548,0.132358,0.000463,0.780384,0.002000,0.241123
0.207633,0.125063,0.000555,0.858825,0.001879,0.242389
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005154,0.148385,0.003836,0.012405,0.000099,0.148524
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
