U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.0281247,0.134189,-0.0315541,0.00201989,0.394656,0.447816,1.57931,0.8128,63,0,1
0.0283007,0.152622,-0.0735156,0.00188038,0.304684,0.494015,1.49152,0.8128,64,0,1
0.032676,0.146766,-0.0623688,0.00191246,0.387131,0.494088,1.57943,0.8128,65,0,1
0.0310947,0.166025,-0.0985442,0.00166866,0.291548,0.528686,1.49161,0.8128,66,0,1
0.0361819,0.158876,-0.0845118,0.00173005,0.37686,0.528771,1.5795,0.8128,67,0,1
0.0334998,0.176118,-0.116253,0.00141716,0.284222,0.55467,1.49164,0.8128,68,0,1
0.0391505,0.167966,-0.0998411,0.00151504,0.371209,0.554769,1.57951,0.8128,69,0,1
0.035754,0.181701,-0.127359,0.00116282,0.280229,0.574147,1.4916,0.8128,70,0,1
0.0417639,0.173148,-0.109357,0.00130265,0.36814,0.574263,1.57945,0.8128,71,0,1
0.0378255,0.18218,-0.132049,0.000947176,0.278042,0.588762,1.49144,0.8128,72,0,1
0.0440079,0.174383,-0.113819,0.00112329,0.366449,0.588893,1.57929,0.8128,73,0,1
0.0394033,0.177611,-0.130712,0.00079478,0.276759,0.599753,1.49115,0.8128,74,0,1
0.0457371,0.172235,-0.114158,0.000991478,0.365444,0.599892,1.57904,0.8128,75,0,1
0.0403043,0.166729,-0.122776,0.000685849,0.275865,0.608053,1.49072,0.8128,76,0,1
0.0471095,0.16643,-0.110716,0.000887729,0.364741,0.608185,1.57868,0.8128,77,0,1
0.000738293,0.204085,0.125261,0.000192014,0.0122511,0.00719369,1.68703,0.8128,78,0,1
0,0,0,0,2.22045e-16,1.43826e-16,1.70266,0.8128,79,0,1
0.00104983,0.224732,0.137527,0.000472733,0.0257149,0.0182066,1.68704,0.8128,80,0,1
0.00107663,0.231202,0.141232,0.000820579,0.0381515,0.0328848,1.68705,0.8128,81,0,1
0.00104656,0.229109,0.13988,0.00122797,0.0566849,0.0524464,1.68707,0.8128,82,0,1
0.00041816,0.220527,0.134637,0.0016555,0.0824465,0.0785197,1.6871,0.8128,83,0,1
-4.66941e-05,0.206061,0.125524,0.00202029,0.117389,0.113278,1.68715,0.8128,84,0,1
0.000221776,0.185966,0.111564,0.00222373,0.164339,0.159621,1.68722,0.8128,85,0,1
0.00311788,0.161014,0.089881,0.00221031,0.227172,0.221411,1.68732,0.8128,86,0,1
0.0115912,0.136432,0.0561465,0.00208693,0.304239,0.303802,1.68745,0.8128,87,0,1
0.0231832,0.124108,0.0144682,0.00203792,0.381349,0.386156,1.68762,0.8128,88,0,1
0.0315757,0.127711,-0.0225037,0.00203071,0.436336,0.447892,1.68776,0.8128,89,0,1
0.0367489,0.1383,-0.0494724,0.00195014,0.462543,0.494171,1.68785,0.8128,90,0,1
0.0407686,0.148853,-0.0685152,0.00180502,0.475735,0.528864,1.6879,0.8128,91,0,1
0.0441052,0.156947,-0.0814719,0.00163356,0.479816,0.554873,1.6879,0.8128,92,0,1
0.0469313,0.161932,-0.0895672,0.00146641,0.477072,0.574378,1.68783,0.8128,93,0,1
0.0492773,0.164013,-0.0938313,0.00132442,0.475747,0.589017,1.68769,0.8128,94,0,1
0.0511133,0.163824,-0.0952764,0.00121566,0.474951,0.600018,1.68747,0.8128,95,0,1
0.0527704,0.161601,-0.0945989,0.00112258,0.474392,0.608303,1.68717,0.8128,96,0,1
0.0545269,0.155643,-0.0904443,0.0010321,0.473964,0.621933,1.68682,0.8128,97,0,1
0.0558684,0.143892,-0.0805124,0.000962435,0.473598,0.638154,1.68645,0.8128,98,0,1
0.0560575,0.126045,-0.0637757,0.000928107,0.473242,0.657441,1.68609,0.8128,99,0,1
0.000785436,0.196933,0.116071,0.000179222,0.0134372,0.0072094,1.82091,0.8128,100,0,1
0,0,0,0,2.22045e-16,2.63029e-10,1.8401,0.8128,101,0,1
0.00114748,0.21843,0.128039,0.000451852,0.0277315,0.0182345,1.82091,0.8128,102,0,1
0.00147159,0.225379,0.131547,0.000791717,0.0395634,0.0329174,1.82092,0.8128,103,0,1
0.00180272,0.224011,0.13041,0.00118725,0.0576528,0.0524787,1.82094,0.8128,104,0,1
0.00175053,0.216118,0.125635,0.00160912,0.0831207,0.0785504,1.82097,0.8128,105,0,1
0.00193153,0.20216,0.117235,0.0019828,0.117871,0.113309,1.82101,0.8128,106,0,1
0.002914,0.182296,0.104393,0.00221192,0.164695,0.159653,1.82106,0.8128,107,0,1
0.00643867,0.157193,0.0847072,0.00223158,0.227447,0.221451,1.82114,0.8128,108,0,1
0.015082,0.131973,0.0549416,0.00211997,0.304468,0.303856,1.82124,0.8128,109,0,1
0.0264143,0.117908,0.0189685,0.00205524,0.381557,0.386232,1.82137,0.8128,110,0,1
0.0349144,0.118774,-0.0126426,0.00204625,0.44452,0.447974,1.82149,0.8128,111,0,1
0.0405401,0.126803,-0.0355062,0.00199479,0.491732,0.494261,1.82157,0.8128,112,0,1
0.0449427,0.135489,-0.0514293,0.00189259,0.527132,0.528962,1.8216,0.8128,113,0,1
0.0485533,0.142501,-0.062178,0.00176862,0.546954,0.554979,1.82159,0.8128,114,0,1
0.0515424,0.147268,-0.0690463,0.00164706,0.555506,0.574492,1.82153,0.8128,115,0,1
0.0539795,0.149992,-0.0730775,0.00154192,0.562396,0.589136,1.8214,0.8128,116,0,1
0.0559007,0.151169,-0.0751485,0.00145805,0.567658,0.600137,1.82121,0.8128,117,0,1
0.0577205,0.151272,-0.0760455,0.00138127,0.572555,0.608415,1.82096,0.8128,118,0,1
0.0599616,0.14968,-0.0753576,0.00129727,0.578825,0.62203,1.82068,0.8128,119,0,1
