U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0,0,0,0,-1,0,0,2.22045e-16,0.639972,1.2192,1.6256,0,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.623672,1.2192,1.6256,1,0,1
-0.013366,-0.000696902,0.00422837,0,-1,0,1.92947e-05,0.0132397,0.637891,1.23069,1.6256,2,0,1
-0.00892083,0.0182434,0.0209823,0,-1,0,2.65799e-05,0.0140079,0.621102,1.23177,1.6256,3,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.659887,1.2192,1.6256,4,0,1
-0.0107149,-0.00190368,0.00143685,0,-1,0,2.13539e-05,0.0128973,0.65753,1.23034,1.6256,5,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.683391,1.2192,1.6256,6,0,1
-0.00925667,-0.00108706,0.000572803,0,-1,0,2.5237e-05,0.01279,0.68063,1.23023,1.6256,7,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.711147,1.2192,1.6256,8,0,1
-0.00770477,-0.000648161,-5.42529e-05,0,-1,0,2.86732e-05,0.0127717,0.707914,1.23019,1.6256,9,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.744053,1.2192,1.6256,10,0,1
-0.00699391,-0.000265947,-0.000296224,0,-1,0,3.12696e-05,0.012797,0.740247,1.23017,1.6256,11,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.783141,1.2192,1.6256,12,0,1
-0.00738689,6.31956e-05,-0.000180833,0,-1,0,3.34008e-05,0.0128564,0.778641,1.23016,1.6256,13,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.82961,1.2192,1.6256,14,0,1
-0.00915089,0.000355137,0.000112504,0,-1,0,3.52528e-05,0.0129521,0.824273,1.23015,1.6256,15,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.884866,1.2192,1.6256,16,0,1
-0.0123763,0.000600528,0.000572399,0,-1,0,3.71769e-05,0.0130929,0.878528,1.23015,1.6256,17,0,1
-0.0102068,0.00172524,0.00811184,0,-1,0,4.7962e-05,0.0291815,0.637818,1.24658,1.6256,18,0,1
-0.00485636,0.0200287,0.0242788,0,-1,0,4.87933e-05,0.0299752,0.621168,1.24743,1.6256,19,0,1
-0.0124682,-0.00159851,0.00301586,0,-1,0,5.6996e-05,0.0287497,0.657406,1.24613,1.6256,20,0,1
-0.0123672,-0.0013246,0.00105303,0,-1,0,7.24193e-05,0.0285679,0.680503,1.24591,1.6256,21,0,1
-0.011745,-0.000789588,0.000163715,0,-1,0,8.6246e-05,0.0285118,0.707811,1.2458,1.6256,22,0,1
