U:0,U:1,U:2,grad(T):0,grad(T):1,grad(T):2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,Point ID,Block Number
0.0235093,0.15473,-0.00567195,-1.38671,0.268867,0.257719,-1,2.21885e-16,-2.21867e-16,0.000512265,0.0546785,0.0524266,1.39884,1.2192,41,1
0.0241531,0.155189,-0.00565355,-1.39853,0.270429,0.257371,-1,2.21885e-16,-2.21867e-16,0.00051653,0.0545292,0.0524131,1.3548,1.2192,42,1
0.0364464,0.159242,-0.00640569,-0.518735,0.267232,0.284469,-1,2.21885e-16,-2.21867e-16,0.000670935,0.081085,0.0784992,1.39886,1.2192,43,1
0.0374603,0.159838,-0.00640815,-0.512794,0.269353,0.283466,-1,2.21885e-16,-2.21867e-16,0.000675308,0.0809783,0.0784832,1.35483,1.2192,44,1
0.053315,0.161612,-0.00652033,-0.0142283,0.255764,0.31448,-1,2.21885e-16,-2.21867e-16,0.000829562,0.116438,0.113257,1.39889,1.2192,45,1
0.054716,0.162352,-0.00658537,0.00171811,0.258075,0.31279,-1,2.21885e-16,-2.21867e-16,0.000833485,0.116357,0.113239,1.35486,1.2192,46,1
0.0734144,0.16138,-0.00631674,0.224515,0.234889,0.352676,-1,2.21885e-16,-2.21867e-16,0.000980315,0.163659,0.159597,1.39893,1.2192,47,1
0.0751216,0.162145,-0.00644502,0.242971,0.236705,0.350713,-1,2.21885e-16,-2.21867e-16,0.000982985,0.163592,0.159575,1.35491,1.2192,48,1
0.0948516,0.158679,-0.00596473,0.218212,0.212203,0.401768,-1,2.21885e-16,-2.21867e-16,0.00109719,0.226673,0.221382,1.39899,1.2192,49,1
0.0966555,0.15947,-0.00612342,0.229482,0.212533,0.400468,-1,2.21885e-16,-2.21867e-16,0.00109594,0.22661,0.221352,1.35497,1.2192,50,1
0.112394,0.155978,-0.00516354,0.0578029,0.206685,0.441489,-0.25,-0.25,-1.10933e-16,0.00113864,0.294697,0.303761,1.39906,1.2192,51,1
