U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
-0.0317747,0.00489894,0.000168949,0,-1,0,0.000247389,0.10033,0.942977,1.31741,1.2192,0,0,1
-0.0276433,0.00505537,6.61332e-05,0,-1,0,0.000238187,0.100277,0.878425,1.31744,1.2192,1,0,1
-0.0295628,0.00639781,0.000101332,0,-1,0,0.000321336,0.136442,0.942961,1.35325,1.2192,2,0,1
-0.02572,0.00685395,1.51888e-05,0,-1,0,0.000306642,0.136416,0.878403,1.35328,1.2192,3,0,1
-0.0219255,0.00902013,-5.27359e-05,0,-1,0,0.000369404,0.180999,0.878387,1.39744,1.2192,4,0,1
-0.0255698,0.00810402,1.94689e-05,0,-1,0,0.000394692,0.181006,0.942948,1.3974,1.2192,5,0,1
-0.0199441,0.0101303,-7.25349e-05,0,-1,0,0.000455598,0.235964,0.94294,1.45182,1.2192,6,0,1
-0.0162357,0.0117602,-0.000131819,0,-1,0,0.000412017,0.235969,0.878377,1.45186,1.2192,7,0,1
-0.00782053,0.0159024,-0.000202101,0,-1,0,0.000420504,0.303732,0.878374,1.51892,1.2192,8,0,1
-0.0123509,0.0127421,-0.0001663,0,-1,0,0.000488566,0.30372,0.942936,1.51888,1.2192,9,0,1
-0.00107794,0.017367,-0.000213069,0,-1,0,0.000475822,0.387243,0.942936,1.60152,1.2192,10,0,1
-0.0156229,0.0101161,-0.000127589,0,-1,0,0.000535731,0.303721,1.0197,1.51885,1.2192,11,0,1
-0.00560443,0.0128792,-0.000226211,0,-1,0,0.000547679,0.38724,1.0197,1.6015,1.2192,12,0,1
0.014146,0.023922,-8.99959e-05,0,-1,0,0.000428723,0.4902,0.942941,1.70339,1.2192,13,0,1
0.00859067,0.0177281,-0.000176831,0,-1,0,0.000506825,0.490194,1.0197,1.70336,1.2192,14,0,1
0.0268036,0.0284001,0.000145278,0,0,0,0.00038855,0.562907,0.942951,1.82894,1.2192,15,0,1
0.0216082,0.0220566,1.65183e-05,0,0,0,0.000454134,0.56292,1.0197,1.82892,1.2192,16,0,1
0.0302847,0.0239134,0.000225812,0,1,0,0.00042162,0.549462,1.01971,1.89044,1.2192,17,0,1
0.0345403,0.0297704,0.000350716,0,1,0,0.00036785,0.549431,0.942962,1.89045,1.2192,18,0,1
0.0374928,0.0244965,0.000427057,0,1,0,0.000399049,0.493475,1.01972,1.9463,1.2192,19,0,1
0.0406205,0.0297226,0.000532131,0,1,0,0.000357702,0.493445,0.942973,1.94632,1.2192,20,0,1
0.0434443,0.0240375,0.000622186,0,1,0,0.000384275,0.442629,1.01972,1.99704,1.2192,21,0,1
