U:0,U:1,U:2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0,0,0,0,-1,0,0,2.22045e-16,0.639972,1.2192,1.6256,0,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.623672,1.2192,1.6256,1,0,1
-0.00397649,-5.19386e-05,0.00724728,0,-1,0,1.01482e-05,0.0132397,0.637891,1.23069,1.6256,2,0,1
-0.00283626,0.00555689,0.0103199,0,-1,0,7.42723e-06,0.0140079,0.621102,1.23177,1.6256,3,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.659887,1.2192,1.6256,4,0,1
-0.00290909,-0.000519649,0.0066523,0,-1,0,1.2358e-05,0.0128973,0.65753,1.23034,1.6256,5,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.683391,1.2192,1.6256,6,0,1
-0.00241314,-0.000196733,0.00607353,0,-1,0,1.37238e-05,0.01279,0.68063,1.23023,1.6256,7,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.711147,1.2192,1.6256,8,0,1
-0.00211581,3.48452e-05,0.00532871,0,-1,0,1.46241e-05,0.0127717,0.707914,1.23019,1.6256,9,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.744053,1.2192,1.6256,10,0,1
-0.00235453,0.000186101,0.0045251,0,-1,0,1.52146e-05,0.012797,0.740247,1.23017,1.6256,11,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.783141,1.2192,1.6256,12,0,1
-0.00304847,0.000275187,0.00374457,0,-1,0,1.58524e-05,0.0128564,0.778641,1.23016,1.6256,13,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.82961,1.2192,1.6256,14,0,1
-0.00426816,0.000344592,0.00307771,0,-1,0,1.67058e-05,0.0129521,0.824273,1.23015,1.6256,15,0,1
0,0,0,0,-1,0,0,2.22045e-16,0.884866,1.2192,1.6256,16,0,1
-0.00614503,0.000407437,0.00260622,0,-1,0,1.77573e-05,0.0130929,0.878528,1.23015,1.6256,17,0,1
-0.00393073,0.000845632,0.0107043,0,-1,0,3.07855e-05,0.0291815,0.637818,1.24658,1.6256,18,0,1
-0.00235115,0.0061785,0.0130417,0,-1,0,2.136e-05,0.0299752,0.621168,1.24743,1.6256,19,0,1
-0.00454059,-0.000254199,0.00956355,0,-1,0,3.9111e-05,0.0287497,0.657406,1.24613,1.6256,20,0,1
-0.00471065,-3.4528e-06,0.0085566,0,-1,0,4.53873e-05,0.0285679,0.680503,1.24591,1.6256,21,0,1
-0.00497535,0.000395895,0.00744215,0,-1,0,4.94063e-05,0.0285118,0.707811,1.2458,1.6256,22,0,1
